sampleid	species	tissue	sex	replicate	lane	scode	readcounts
Chi-HeaF1_S18_L001	Gga	Heart	Female	F1	L001	ghf1	6274909
Chi-HeaF1_S18_L002	Gga	Heart	Female	F1	L002	ghf1	6195767
Chi-HeaF1_S18_L003	Gga	Heart	Female	F1	L003	ghf1	6309276
Chi-HeaF1_S18_L004	Gga	Heart	Female	F1	L004	ghf1	6189419
Chi-HeaF2_S15_L001	Gga	Heart	Female	F2	L001	ghf2	6609260
Chi-HeaF2_S15_L002	Gga	Heart	Female	F2	L002	ghf2	6529586
Chi-HeaF2_S15_L003	Gga	Heart	Female	F2	L003	ghf2	6642594
Chi-HeaF2_S15_L004	Gga	Heart	Female	F2	L004	ghf2	6515459
Chi-HeaF3_S16_L001	Gga	Heart	Female	F3	L001	ghf3	7048224
Chi-HeaF3_S16_L002	Gga	Heart	Female	F3	L002	ghf3	6950928
Chi-HeaF3_S16_L003	Gga	Heart	Female	F3	L003	ghf3	7074365
Chi-HeaF3_S16_L004	Gga	Heart	Female	F3	L004	ghf3	6928409
Chi-HeaM1_S17_L001	Gga	Heart	Male	M1	L001	ghm1	6499285
Chi-HeaM1_S17_L002	Gga	Heart	Male	M1	L002	ghm1	6425793
Chi-HeaM1_S17_L003	Gga	Heart	Male	M1	L003	ghm1	6533002
Chi-HeaM1_S17_L004	Gga	Heart	Male	M1	L004	ghm1	6414918
Chi-HeaM2_S14_L001	Gga	Heart	Male	M2	L001	ghm2	7254053
Chi-HeaM2_S14_L002	Gga	Heart	Male	M2	L002	ghm2	7171267
Chi-HeaM2_S14_L003	Gga	Heart	Male	M2	L003	ghm2	7287483
Chi-HeaM2_S14_L004	Gga	Heart	Male	M2	L004	ghm2	7144875
Chi-HeaM3_S8_L001	Gga	Heart	Male	M3	L001	ghm3	6767832
Chi-HeaM3_S8_L002	Gga	Heart	Male	M3	L002	ghm3	6650209
Chi-HeaM3_S8_L003	Gga	Heart	Male	M3	L003	ghm3	6780520
Chi-HeaM3_S8_L004	Gga	Heart	Male	M3	L004	ghm3	6634883
Chi-LivF2_S6_L001	Gga	Liver	Female	F2	L001	glf2	6203207
Chi-LivF2_S6_L002	Gga	Liver	Female	F2	L002	glf2	6100654
Chi-LivF2_S6_L003	Gga	Liver	Female	F2	L003	glf2	6224820
Chi-LivF2_S6_L004	Gga	Liver	Female	F2	L004	glf2	6094059
Chi-LivF3_S7_L001	Gga	Liver	Female	F3	L001	glf3	6334465
Chi-LivF3_S7_L002	Gga	Liver	Female	F3	L002	glf3	6228057
Chi-LivF3_S7_L003	Gga	Liver	Female	F3	L003	glf3	6359684
Chi-LivF3_S7_L004	Gga	Liver	Female	F3	L004	glf3	6228664
Chi-LivM2_S5_L001	Gga	Liver	Male	M2	L001	glm2	6459617
Chi-LivM2_S5_L002	Gga	Liver	Male	M2	L002	glm2	6337447
Chi-LivM2_S5_L003	Gga	Liver	Male	M2	L003	glm2	6484655
Chi-LivM2_S5_L004	Gga	Liver	Male	M2	L004	glm2	6334294
Chi-LivM5_S13_L001	Gga	Liver	Male	M5	L001	glm5	7139895
