chromosome_name	X4.x	X5.x	X7.x	X1.x	Accession	geneName	Geomean
7	4368941	4386891	NA	ENSGALG00000003570	Q5XKY5	PURH	0.229086765427149
4	50315669	50356912	+	NC_052535.1	A0A1D5NW68	ALB	1.06169556806365
19	4773062	4780788	-	NC_052550.1	E1BVT3	MDH2	0.264240879708824
21	3211183	3223678	-	NC_052552.1	F1NZ78	ENO1	0.693425803713086
Z	22975367	22991332	-	NC_052572.1	E1BSH9	BHMT2	0.349945170643748
Z	42058846	42068502	-	NC_052572.1	F6QGI8	FBP1	0.933254296936063
4	64253806	64288846	-	NC_052535.1	R9PXP8	PAICS	0.257632112326001
11	1496391	1506594	-	NC_052542.1	F1P180	GOT2	0.304088496230815
Z	9086209	9107459	-	NC_052572.1	Q5ZMU9	VCP	0.794328240595341
25	1874717	1890856	-	NC_052556.1	Q5ZLJ7	TPM3	0.651628406319929
10	20054298	20057632	-	NC_052541.1	A0A1D5P8I7	IDH2	0.260615357827921
8	5633321	5643259	+	NC_052539.1	A0A1D5PBV9	GLUL	0.252929795585177
8	5478837	5486385	-	NC_052539.1	F1NMN7	ALDH9A1	0.187499448101496
Z	83628961	83647182	+	NC_052572.1	E1C4W4	ALDH7A1	0.803526110821193
24	5162921	5164390	-	NC_052555.1	O93601	apoAIV	2.29086762333917
5	52435589	52473399	-	NC_052536.1	F1NMC3	MTHFD1	0.948418437839836
2	129542784	129571173	-	NC_052533.1	A0A1L1RMS7	DPYS	0.222843520876759
4	12897064	12908310	+	NC_052535.1	F1NU17	PGK2	0.193642197959375
12	7129421	7152096	-	NC_052543.1	F1P1A5	TKTL1	1.08893010082482
2	4724127	4732169	-	NC_052533.1	F1NB64	ACAA1	0.594292154987811
Z	28445968	28484014	-	NC_052572.1	F1NX32	GLDC	0.498884475495038
Z	1315093	1327424	+	NC_052572.1	A0A1D5PL36	ACAA2	3.22849407971724
Z	36506699	36560223	-	NC_052572.1	F1NJC7	ALDH1A1	0.232809124276808
20	1837256	1863273	+	NC_052551.1	A0A1D5PPA8	AHCY	0.515228649735446
13	10159607	10169565	+	NC_052544.1	F1NMN2	SPINK5	2.7669415917278
18	5211515	5229507	+	NC_052549.1	Q5ZM10	RCJMB04_3h19	0.511681833195124
7	2823743	2837408	-	NC_052538.1	Q5ZJ93	RCJMB04_19o8	0.366437575615751
8	28740433	28756035	+	NC_052539.1	E1BYF1	CTH	0.224388192311219
4	21373115	21390603	+	NC_052535.1	Q5F3D8	RCJMB04_20k15	1.19398811195297
1	180214634	180227021	-	NC_052532.1	E1C0Q5	ACAT1	0.288403150369769
5	601542	604277	-	NC_052536.1	Q5ZHS2	RCJMB04_33n14	0.208929610760397
1	105446891	105487209	-	NC_052532.1	A0A547	GART	0.328851629868847
1	104747250	104751689	+	NC_052532.1	F1N8Q1	SOD1	0.470977331061204
15	5703612	5707351	-	NC_052546.1	F1NVJ0	HPD	0.580764411466705
5	11435149	11464036	+	NC_052536.1	F1NGB1	NUCB2	2.10377844145135
12	3311565	3316166	-	NC_052543.1	A0A1D5PAU7	ACY1	0.57543993284295
Z	2151248	2159334	NA	ENSGALG00000037880	A0A1D5PN54	ATP5A1Z	0.548276973238233
31	241864	248501	-	NC_052562.1	Q98TD1	PIT	1.65576995570675
24	3128671	3133611	+	NC_052555.1	F1NWP3	HSPA8	0.974989641131212
18	10552362	10560714	-	NC_052549.1	A0A1D5PV06	P4HB	1.93642199048988
3	45279316	45287256	-	NC_052534.1	F1NT20	ACAT2	0.797994702335939
15	6210665	6222600	+	NC_052546.1	E1BT93	LOC107057078	0.41591060036351
7	13413022	13425712	-	NC_052538.1	F1NPG2	IDH1	0.395366617559589
1	196007679	196008889	-	NC_052532.1	Q90864	HBE1	1.54170045502973
1	106664988	106671528	+	NC_052532.1	F1N8Y3	CBR3	0.204173798091619
4	49867662	49911507	-	NC_052535.1	Q9W6F5	VTDB	1.54170047240976
2	114787555	114804195	+	NC_052533.1	A0A1D5PNX0	ADHFE1	0.33189445853014
4	64261511	64303864	+	NC_052535.1	F1P3I8	PPAT	0.338844161798437
12	5404034	5427465	-	NC_052543.1	F1NEF6	ACAD9	0.926829832020477
38	64921	67961	+	NC_052569.1	A0A1D5PDA1	ECH1	0.516416370387859
12	7399483	7412646	-	NC_052543.1	E1C003	CHDH	1.74582216618973
5	18220734	18239421	+	NC_052536.1	Q5ZMM4	RCJMB04_1j22	0.895364768626896
6	15623368	15633897	-	NC_052537.1	A0A1L1RVM8	VDAC2	1.10153930572505
4	60491750	60505908	-	NC_052535.1	F1NAM7	BDH2	0.651628393497565
Z	71535877	71572675	+	NC_052572.1	A0A1D5PQV0	ACO1	0.458141875265262
2	57542824	57553045	-	NC_052533.1	A0A1D5PFY7	ALDH5A1	0.242661008306845
1	15052791	15066618	+	NC_052532.1	Q5ZM32	DLD	0.199986183369583
22	4499432	4501072	+	NC_052553.1	D0EKR3	PPIA	0.183653834710538
3	4654655	4697746	+	NC_052534.1	F1NIY2	XDH	1.51705034720964
2	85282789	85298718	-	NC_052533.1	F1NPJ4	SDHA	0.860993743639646
28	1878324	1886120	+	NC_052559.1	A0A1D5PS29	EEF2	0.571478635467636
20	2993552	3001534	+	NC_052551.1	F1NLE4	GSS	0.537031790388323
21	252215	260587	-	NC_052552.1	D5M8S2	DJ-1	0.408319389850142
7	12193578	12208131	+	NC_052538.1	Q5ZJ57	RCJMB04_20j17	0.772680584721792
6	22932820	22936401	+	NC_052537.1	F1NTM7	GOT1	0.639734845738255
5	37241008	37253112	-	NC_052536.1	E1C155	ALDH6A1	0.561047978337826
1	185679795	185689178	-	NC_052532.1	F1NY09	C1H11ORF54	0.31915378647343
17	2117727	2125088	+	NC_052548.1	F1NN49	ALAD	0.829850774017455
8	24221666	24233804	+	NC_052539.1	F1NSS4	SCP2	0.303389117677782
23	5991641	5994156	-	NC_052554.1	A0A140T8G0	LBFABP	0.895364785891029
5	54048163	54086631	+	NC_052536.1	E1BV75	DHRS7	1.58489322892972
18	11259499	11262298	-	NC_052549.1	E1C658	ATP5H	0.746448738557563
2	33901117	33921347	-	NC_052533.1	F1NYG7	HACL1	0.553350107030406
8	4247351	4251997	+	NC_052539.1	E1C9C4	HMGCS2	0.311888959186273
8	24319614	24326825	+	NC_052539.1	F1P1U3	CPT2	0.266685869321377
3	9706925	9717819	+	NC_052534.1	A0A1D5PE17	MDH1	1.69044090995495
4	75503245	75515033	-	NC_052535.1	F1NHL4	LAP3	1.12460497964215
Z	65815778	65824523	+	NC_052572.1	B4Z858	ALDOB	0.240990548553037
25	319313	338690	-	NC_052556.1	F1NP51	LMNA	0.485288501444587
9	14973021	14980512	-	NC_052540.1	A0A1D5NZ30	NCL	0.638263487029285
10	12580031	12590868	-	NC_052541.1	F1NYW8	FAH	1.24738351539959
Z	72086745	72142209	-	NC_052572.1	O42484	HSD17B4	1.05438687253768
7	9834715	9839276	+	NC_052538.1	O42283	HSPE1	0.264240869778779
7	27795850	27821928	+	NC_052538.1	F1NFY2	GPD1L2	0.559757611031272
5	37598860	37613998	+	NC_052536.1	F1NQH8	DLST	1.41253756966836
12	2320931	2324745	+	NC_052543.1	E1C9J2	MANF	0.872971376187229
Z	38582825	38598178	+	NC_052572.1	F1NTK1	PSAT1	0.61517689443383
21	4903102	4906334	+	NC_052552.1	A0A1D5PB61	AGMAT	0.889201124569138
NA	3657	8729	-	NW_024096019.1	A0A1D5PI87	HSD17B10	0.739605277635282
3	41518613	41557818	-	NC_052534.1	O57338	NA	0.523600437629397
1	51551871	51559047	+	NC_052532.1	F1NDP5	TST	0.395366612934691
1	154432810	154437511	+	NC_052532.1	E1BQD1	GATD3AL1	0.358921939127069
Z	85669960	85675336	-	NC_052572.1	F1NX57	GRHPR	1.09647817487968
2	98270957	98284904	-	NC_052533.1	A0A1D5PI06	NDUFV2	0.406443336012171
19	9191436	9195364	+	NC_052550.1	F1NQW8	SRSF1	0.833681185233412
1	179478720	179514342	+	NC_052532.1	F1NQD9	RDX	0.338064845344217
25	2721141	2733640	-	NC_052556.1	H9KYX6	SELENBP1	0.769130430781967
4	81355094	81364148	+	NC_052535.1	F1NDD6	LRPAP1	1.05196186208543
2	54073523	54085129	-	NC_052533.1	Q5ZK20	RCJMB04_13l7	0.54200089019504
Z	44819604	44933500	-	NC_052572.1	E1BTQ9	AUH	0.417830366701188
13	14814217	14819073	+	NC_052544.1	F1NEF7	LECT2	0.599791070894254
4	85612159	85615889	-	NC_052535.1	Q90WA9	LFABP	0.749894215636219
1	102647864	102651797	-	NC_052532.1	E1C4V1	ATP5J	1.27057413052292
4	75524145	75533040	+	NC_052535.1	Q5ZKQ2	QDPR	0.281838292179198
6	32802134	32819066	-	NC_052537.1	Q5ZJ29	OAT	0.717794272591618
26	3187142	3190093	+	NC_052557.1	E1BZ22	HSD11B1b	2.28034208022103
15	8448814	8463187	-	NC_052546.1	E1BU99	UPB1	0.32508729583567
Z	11541700	11574756	-	NC_052572.1	F1NJV0	NADK2	0.537031791750707
17	6094407	6110528	-	NC_052548.1	A0A1D5Q004	CRAT	0.236047821427503
8	4314803	4321698	-	NC_052539.1	F1NBV0	PRDX6	0.562341338805967
3	33530319	33540329	-	NC_052534.1	Q5ZMK3	SCCPDH	0.345939374171361
17	2547442	2549540	-	NC_052548.1	F1NYB1	TUBB4B	0.484172374240648
10	4189085	4208053	-	NC_052541.1	A0A1D5P342	TPM1	0.944060877917198
10	2419901	2424180	+	NC_052541.1	E1C043	COX5A	0.736207091080614
28	3370722	3372272	+	NC_052559.1	Q8QG67	GPX4	1.16680963527553
2	85647805	85662193	NA	ENSGALG00000013165	Q5ZLD1	FH	0.666806763873099
1	51548878	51551736	-	NC_052532.1	A0A1D5PKN8	MPST	0.594292168781429
12	9950056	10051933	+	NC_052543.1	E1C4D9	CHCHD6	1.4454397546771
1	110412093	110419110	+	NC_052532.1	Q5ZM94	RCJMB04_2m19	0.279254387310292
5	48993616	48998776	-	NC_052536.1	A0A1D5PUL6	HSP90AA1	0.650129690501546
20	11404219	11416086	-	NC_052551.1	F1NSZ4	NPEPL1	1.04712851996949
3	88079909	88103050	+	NC_052534.1	A0A1D5NT70	LOC395611	0.995405422199616
3	45077933	45099056	+	NC_052534.1	F1NWX6	PLG	0.580764416512241
8	29317406	29323149	-	NC_052539.1	Q5ZHT3	RCJMB04_33h20	0.439541613126063
3	14344416	14377119	+	NC_052534.1	E1BRR7	HAO1	0.963828999162346
34	1390947	1401506	+	NC_052565.1	A0A1D5P7C6	PA2G4	0.322106875906157
18	11072698	11079989	+	NC_052549.1	F1NK29	SLC9A3R1	0.630957343915456
2	123978543	123995050	+	NC_052533.1	A0A1L1RTA1	DECR1	0.283139193998395
14	13012857	13018628	+	NC_052545.1	F1NG68	DECR2	0.636795539288503
2	20035290	20055203	-	NC_052533.1	E1BWG7	PTER	1.00925289283502
5	15378087	15382920	-	NC_052536.1	A0A1D5PMT8	RPLP2	1.71001530598485
6	15872485	16152329	-	NC_052537.1	Q5ZMK9	ADK	0.200909281835354
6	12654045	12674270	-	NC_052537.1	E1BSP1	PSAP	1.13240037626551
22	3317102	3318023	-	NC_052553.1	A0A1D5PUI6	LOC107049545	2.01372423610738
23	5958463	5962086	-	NC_052554.1	F1P1E7	HMGCL	1.12201846507717
4	59481505	59485869	-	NC_052535.1	O42483	NA	0.243781084073811
26	1305252	1307962	+	NC_052557.1	A0A1D5P470	LOC107050492	0.485288499613776
26	3255359	3258861	+	NC_052557.1	F1NSC1	ATP5PB	1.01859137487471
15	9441618	9444277	+	NC_052546.1	F1NB66	RPLP0	0.719448977507083
15	6275959	6280032	-	NC_052546.1	F1NRM8	ERP29	0.571478640640933
3	68404574	68501445	+	NC_052534.1	F1NUS2	PREP	0.657657844293423
22	2363191	2367422	+	NC_052553.1	E1C516	PROSC	0.787045790832597
14	12311995	12316845	+	NC_052545.1	A0A1D5PU43	ECI1	1.43879859349081
18	5537243	5573290	+	NC_052549.1	A0A1D5P6Q5	FASN	1.30016957603138
15	9183036	9190704	-	NC_052546.1	Q5ZL56	ACADS	1.12719747141177
13	12634443	12646954	+	NC_052544.1	Q6B344	ANXA6	0.657657846353809
2	91554618	91565931	+	NC_052533.1	A0A1D5NYX6	CYB5A	3.75837405432484
23	5685589	5692394	-	NC_052554.1	F1NJ73	AK2	0.293764964044454
21	190116	198494	+	NC_052552.1	A0A1D5PIF0	SDHB	0.729457524768959
5	38686374	38695446	+	NC_052536.1	F1N9S2	GSTZ1	0.584790097981151
4	89461059	89464216	-	NC_052535.1	E1C4L3	SPR	0.518800030227014
Z	55400518	55410203	+	NC_052572.1	R4GJL1	NIPSNAP3A	3.9810716953708
28	1246121	1258978	-	NC_052559.1	Q5F3R8	RAB11B	2.4603676150792
2	44338195	44383947	-	NC_052533.1	A0A1D5PXL0	GLB1	0.519996007910564
18	10564609	10573447	-	NC_052549.1	F1P3P3	ARHGDIA	0.696626507976417
Z	54171936	54173804	+	NC_052572.1	Q9YH14	rbf	0.981747953214003
18	4985113	4988234	NA	ENSGALG00000002849	F1NBK8	NA	0.767361488997639
5	161729	164081	-	NC_052536.1	A0A1D5P888	PPP1CA	1.42232876129128
34	1550827	1561160	-	NC_052565.1	A0A1L1RNL6	NACA	0.696626522898796
3	96619929	96635991	-	NC_052534.1	F1NK96	PDIA6	0.422668607136054
10	19264398	19284430	-	NC_052541.1	E1C2A1	ANP32A	0.693425799840433
1	123572596	123598532	-	NC_052532.1	A0A1D5PV43	PRPS2	0.704693058509853
4	24818031	24833133	+	NC_052535.1	E1C9H5	AADAT	1.74180683126426
2	127079457	127086281	-	NC_052533.1	A0A1L1RZS5	RIDA	0.748169490509215
28	3471453	3473864	+	NC_052559.1	A0A1D5NW93	ATP5D	0.835603034293836
8	28353392	28371487	-	NC_052539.1	F1NYE5	SERBP1	1.8706821680015
4	69315591	69332636	-	NC_052535.1	Q5ZHU2	RCJMB04_33e1	0.454988056964609
Z	9760137	9771212	+	NC_052572.1	Q05705	BRT-2	1.42889398444224
5	58557919	58562086	+	NC_052536.1	Q90ZK7	FKBP25	0.486407217975847
3	56448020	56452175	-	NC_052534.1	A0A1I7Q419	RPS12	1.01859141340319
13	2405019	2426690	+	NC_052544.1	F1NZ86	HSPA9	0.674528029773439
14	6046424	6056123	-	NC_052545.1	A0A1D5P901	HAGH	0.939723330202132
7	27999686	28003123	-	NC_052538.1	F1NF81	DBI	0.554625714512112
8	27548500	27567569	+	NC_052539.1	Q2UZR2	NA	0.803526143267801
13	15589393	15650724	+	NC_052544.1	E1BYN7	VDAC1	0.770903463655477
2	89340083	89343479	+	NC_052533.1	Q6IEC5	ISG12(2)	3.53183168588247
5	12163331	12169334	+	NC_052536.1	E1BTT8	LDHA	0.335737616501679
4	1995971	1997184	+	NC_052535.1	F1NIC5	TIMM8A	1.30617087941424
17	8490588	8496785	-	NC_052548.1	Q5ZJ49	PMPCA	0.381065829121254
2	64348339	64380396	+	NC_052533.1	Q5ZM63	RCJMB04_2p21	1.20226447422599
9	15023311	15031620	+	NC_052540.1	A0A1D5PPP9	PTMA	1.90985324980149
