chromosome_name	X4.x	X5.x	X7.x	X1.x	Accession	geneName	Geomean
1	67151294	67270426	+	NC_000067.7	Q8C196	Cps1	1.12460495459604
6	90527751	90576153	+	NC_000072.7	Q8R0Y6	Aldh1l1	1.2416522968972
3	94600880	94611713	+	NC_000069.7	Q63836	Selenbp2	16.8655301462534
13	93753399	93774266	-	NC_000079.7	O35490	Bhmt	2.93764971314748
2	103284249	103315498	-	NC_000068.8	P24270	Cat	1.29419585888254
4	42979964	43000507	-	NC_000070.7	Q01853	Vcp	1.08642562236893
19	20469947	20620827	+	NC_000085.7	P24549	Aldh1a1	3.85478359887615
13	63012567	63036112	-	NC_000079.7	Q9QXD6	Fbp1	1.72583789670365
2	34662102	34666541	+	NC_000068.8	P20029	Hspa5	1.09395636865177
5	90608729	90624461	+	NC_000071.7	P07724	Alb	0.413999663862256
5	135807503	135819240	+	NC_000071.7	P08249	Mdh2	1.33659547275076
11	116062709	116089871	-	NC_000077.7	Q9R0H0	Acox1	0.153815464842687
16	45973348	45975440	-	NC_000082.7	P50247	Ahcy	3.50751870103067
9	53491822	53521650	-	NC_000075.7	Q8QZT1	Acat1	1.07646521038051
2	122065320	122095818	+	NC_000068.8	Q64442	Sord	0.91411324167289
10	24791105	24803368	-	NC_000076.7	Q61176	Arg1	1.34586036290512
11	120451124	120464079	-	NC_000077.7	P09103	P4hb	0.68391164945632
7	103475730	103477135	-	NC_000073.7	P02088	Hbb-b1	6.1376201082362
6	125138815	125143430	-	NC_000072.7	P16858	Gapdh	1.94088587419823
9	108216279	108217541	+	NC_000075.7	P11352	Gpx1	5.16416372909698
5	121704090	121731887	-	NC_000071.7	P47738	Aldh2	1.09900586227575
14	31329183	31364201	-	NC_000080.7	Q9QXE0	Hacl1	0.402717035146144
12	84477491	84497798	-	NC_000078.7	Q9EQ20	Aldh6a1	0.454988057172042
18	74912283	74939278	+	NC_000084.7	Q8BWT1	Acaa2	0.695024320526952
12	70237589	70274457	-	NC_000078.7	Q9ET01	Pygl	0.370680720622172
14	34032684	34066990	+	NC_000080.7	P26443	Glud1	0.737904235622606
X	10118500	10187263	+	NC_000086.8	P11725	Otc	5.40754333191988
8	93892700	93924432	-	NC_000074.7	Q8VCT4	Ces1d	0.451855950929012
