Geneid	species	chr	gstart	gend	gstrand	Length	ghf1	ghf2	ghf3	ghm1	ghm2	ghm3	glf2	glf3	glm2	glm5
2KTGRL	gga	chr2	56128322	56166224	-	8000	48.826077186243374	41.79727117499629	64.38560993116117	47.229967325000224	36.63974848992334	65.81021329394342	67.49783177023075	46.53063368043341	53.951386693682224	45.79314099149171
A1CF	gga	chr6	10480445	10507157	-	4200	0.21228729211410163	1.0838074825534552	0.04819282180476136	0.048193844209183906	0.6435553013452577	0.27459059788849827	319.5704519417472	522.7030067167312	274.1453237736389	460.1612421959755
A2M	gga	chr1	75907286	75936143	+	4996	0.3184309381711524	8.010750958003799	0.14457846541428407	0.048193844209183906	3.689717061046144	0.32035569753658133	841.9370800541428	1456.9154714697308	1197.1270612055087	2322.0168107265304
A2ML1	gga	chr1	75739324	75789644	+	9238	6.580906055537151	4.240985801296129	5.301210398523749	3.8073136925255286	4.547790796173154	7.825832039822202	1.8766213317283886	1.8665583711348646	1.6133787886866695	0.4894753787689138
A2ML2	gga	chr1	75819996	75853792	+	4955	1.0083646375419828	18.707459590161815	0.4819282180476136	0.14458153262755172	6.135227206158123	0.7780066940174118	5845.372767473974	8428.377662060511	6673.515486371992	5009.726115546636
A2ML3	gga	chr1	76275704	76289062	+	2398	0.3184309381711524	3.439910705495749	0.09638564360952272	0.09638768841836781	1.9306659040357732	0.27459059788849827	1194.6208180750975	1602.4403616192812	1757.0340360313305	1384.2907573116847
A2ML4	gga	chr27	4101583	4112295	+	4962	1.0614364605705082	9.895633536357634	0.38554257443809087	0.14458153262755172	4.9768276637366595	0.1830603985923322	1458.3163832689315	3412.8686560221618	3806.734984330423	3589.486110972034
A4GALT	gga	chr1	68335219	68348032	-	7109	48.77300536321485	59.93926599165196	37.494015364104335	50.55534257543392	44.23370104579738	28.64895237969999	1.937157503719627	0.5999651907219208	1.6133787886866695	0.3807030723758218
A4GNT	gga	chr9	4276267	4282500	+	1933	1.167580106627559	0.5183427090473046	0.38554257443809087	0.14458153262755172	0.6864589881016082	0.22882549824041526	0.12107234398247668	0.13332559793820462	0.12907030309493356	0.2175446127861839
AAAS	gga	chr33	7355330	7361800	-	2205	20.644939158096385	30.346609511496744	25.108460160280668	17.446171603724572	18.276970558205317	20.548529741989288	32.44738818730375	34.46466706702589	42.786805475970475	32.14221653915867
AACS	gga	chr15	4746614	4783923	-	3327	24.996828646435468	23.372543971587554	29.301235657294907	22.361943713061333	22.867665041134824	27.138704091313247	37.53242663456777	62.596368231987064	71.11773700530838	52.0475486090945
AADAC	gga	chr9	23595229	23605690	-	5828	0.8491491684564065	2.1676149651069103	0.7228923270714204	0.9638768841836781	1.9306659040357732	1.9678992848675712	341.0607929986368	425.9752854125637	323.1275037981662	374.23112014543284
AADACL4L3	gga	chr21	5258902	5263182	-	1487	0.6899336993708303	0.47122064458845875	0.674699505266659	0.4337445978826552	0.7722663616143093	1.0525972919059101	0.06053617199123834	0	0	0.054386153196545974
AADAT	gga	chr4	25220146	25235204	+	1769	18.522066236955368	21.864637908904488	19.469900009123588	18.74740539737254	14.415638750133773	16.612731172254147	37.29028194660282	68.99599693302089	55.82290608855877	59.11774852464547
AAED1	gga	chrZ	42274779	42281198	-	3659	14.594751332844487	14.607839982242222	16.192788126399815	25.157186677193998	19.521177474139485	27.962475884978744	7.264340638948601	6.666279896910231	7.357007276411212	5.112298400475321
AAGAB	gga	chr10	19291200	19311088	-	3897	32.586099339514604	32.93832305673327	34.698831699428176	31.61516180122464	34.92360101966932	29.289663774773153	31.842026467391367	34.7313182629023	36.46236062431873	39.97382259946129
AAK1	gga	chr22	173112	239179	+	14645	123.76349130252125	117.6166728892793	115.03626564796537	124.24373037127611	118.45707913428377	118.02819199240618	48.42893759299067	50.197087623734035	44.72286002239448	48.13174557894319
AAMDC	gga	chr1	194363484	194374740	-	1924	13.108740288045777	15.55028127141914	8.674707924857044	15.229254770102115	9.99655901422967	7.917362239118368	10.835974786431663	12.799257402067642	5.033741820702409	14.629875209870868
AAMP	gga	chr7	22565680	22570174	+	2508	47.12777884933056	54.28461825659045	43.469925267894745	40.62741066834203	35.524252634258225	51.94338810057426	69.25338075797666	55.53011154126222	84.47651337563401	54.386153196545976
AAR2	gga	chr20	256427	296024	+	8223	107.73580074790658	130.1511420353323	124.28928743447955	107.71324180752603	133.73079161954456	183.42651938951687	32.931677563233656	29.13164314949771	28.00825577160058	27.573779670648808
AAREL	gga	chr12	2905815	2910008	-	2509	34.28439767642741	48.53572639261125	73.92778864850392	22.988463687780722	48.22374391413798	49.24324722133736	37.653498978550246	44.99738930414406	65.56771397222624	20.775510521080562
