chromosome_name	X4.x	X5.x	X7.x	X1.x	Accession	geneName	Geomean
X2	10776065	10785332	+	NC_041750.1	F6Q9N0	EEF2	0.680365819229442
3	120198056	120291291	-	NC_041730.1	F6U8V2	VCL	0.808179250272503
11	16593258	16600084	-	NC_041738.1	F7C291	HSPA8	1.79504705596262
11	15093183	15124575	-	NC_041738.1	F6QNR3	ACLY	1.98628764424694
11	59725800	59750970	-	NC_041738.1	F7ESN3	COL1A1	0.381182912234492
14	40821176	40831194	-	NC_041741.1	F6RTL9	CKAP4	0.626997845100407
X1	33258717	33300862	+	NC_041749.1	F6WFY8	ANXA6	0.589783847611963
8	69609792	69657799	-	NC_041735.1	F6UFX0	COL1A2	0.531044478857663
4	63230668	63246075	-	NC_041731.1	F6XVK7	PABPC1	1.56054694323561
X5	59697496	59714613	+	NC_041753.1	F6T207	ANXA1	0.403206810824559
7	28942047	29032824	+	NC_041734.1	F6UJ31	FN1	0.586038114912271
1	134050045	134292509	-	NC_041728.1	F7FP35	IGF2BP2	1.73436448893372
X5	4027504	4032273	-	NC_041753.1	F7CNK4	RPS3A	1.44583161481245
X1	39897100	39934791	-	NC_041749.1	F6XTX9	HSPA4	1.20457760714331
7	28942047	29032824	+	NC_041734.1	F7F8Z0	FN1	0.619837770082289
6	19107331	19170534	-	NC_041733.1	F7D6Q6	FLNA	1.18483232262245
8	36123421	36130454	-	NC_041735.1	F6XTC1	RPSA	1.73369525636015
16	24877267	24907098	+	NC_041743.1	F6RJ68	EIF3A	1.26080883423262
X5	28311432	28411954	+	NC_041753.1	F6ZEV4	HSD17B4	0.71755141603447
13	22017396	22026994	+	NC_041740.1	F6U863	VIM	0.491043792034519
16	577555	586639	+	NC_041743.1	F7DRK1	PHGDH	0.646780642382606
X1	32863628	32889602	+	NC_041749.1	F6YAF9	SPARC	0.354484673430428
6	17049896	17061193	+	NC_041733.1	F6ZI53	RPS4X	1.4800694333694
4	46248616	46256022	-	NC_041731.1	F6S4U9	HSPA5	1.2585402579203
3	65392909	65425758	-	NC_041730.1	F7FL61	ACAA2	0.800801879782362
X2	19177970	19203819	-	NC_041750.1	F7EYL2	SDHA	0.784514570558651
18	28790581	28812651	+	NC_041745.1	F6RM31	UGDH	1.40364702471498
5	2895119	2970398	+	NC_041732.1	F7BQQ4	ACTN4	1.44257415280313
11	32583623	32617550	+	NC_041738.1	F7BGD9	GPI	1.20018219542127
3	120874583	120898510	+	NC_041730.1	F7EFR9	ANXA7	0.619086794891959
5	69490909	69511384	+	NC_041732.1	F7FAQ8	ENO1	0.769954026960187
4	51022627	51041180	+	NC_041731.1	F7BGY6	CA3	0.296943713304331
X5	23029386	23035454	+	NC_041753.1	F7E8M7	RACK1	1.37977533907442
X1	19450271	19465398	-	NC_041749.1	F6YUC7	NPM1	1.80964362913771
X3	22196847	22217590	-	NC_041751.1	F7CMD2	SSR1	0.528590838947942
4	95508564	95518500	-	NC_041731.1	F7FG88	RPL5	1.3927779280594
3	9281868	9286627	+	NC_041730.1	F6VCQ3	RPS13	1.50613246583655
1	10187818	10350665	-	NC_041728.1	F6Z6W2	CAST	0.779386069226302
10	45788907	46171443	+	NC_041737.1	F6PLJ4	SND1	1.14580247878685
3	84387457	84451373	+	NC_041730.1	F6WL35	P4HA1	0.806964203302864
2	47869163	47886278	+	NC_041729.1	F7FNS7	ARL6IP1	1.70722819423894
X1	32779592	32805086	-	NC_041749.1	F6YAI0	G3BP1	1.47456030941011
3	16201109	16211192	+	NC_041730.1	F7FZM2	EEF1G	1.38480582108884
X1	90012712	90067620	+	NC_041749.1	F7F797	RAB7A	0.727430429241232
2	6159047	6166875	-	NC_041729.1	F6YB50	RPLP0	1.54156378299625
7	42953484	43050883	-	NC_041734.1	F6T0U5	HDLBP	1.27866831152092
18	39412343	39431830	-	NC_041745.1	F6XA92	LAP3	0.841508309182358
5	4597685	4608285	-	NC_041732.1	F7DVV4	RPS19	2.19480803254498
3	11420221	11450855	+	NC_041730.1	F7C3B7	COPB1	0.857140779773672
3	9137117	9162932	-	NC_041730.1	F6VDF5	NUCB2	0.762965331463202
4	25019437	25023685	+	NC_041731.1	F7ATF5	RPL12	1.26317628219602
5	52312039	52359542	+	NC_041732.1	F7FNN0	ANXA2	0.805969450747621
14	46721500	46743583	-	NC_041741.1	F7CXR3	ST13	0.742161104819424
2	20143215	20171648	+	NC_041729.1	F7FFC7	ALDH2	1.29433089048738
2	40061775	40083308	-	NC_041729.1	F6TU40	EIF3B	1.24670939314813
X5	7903592	7905937	-	NC_041753.1	F6UIZ9	LOC100091897	1.29860513439733
14	45603719	45614948	-	NC_041741.1	F7DVQ6	RPL3	1.1936955825038
20	30061216	30070478	-	NC_041747.1	F6U4X4	SERPINH1	0.788060602980922
11	39914630	39926688	+	NC_041738.1	F6PFV8	NQO1	1.70552162423446
2	20282834	20290772	+	NC_041729.1	F7FFB6	ERP29	1.28816759502576
X5	221153	227851	+	NC_041753.1	F7FKG9	CCT3	1.17286658574598
8	36862097	36897739	-	NC_041735.1	F6WBD5	CTNNB1	1.39777010042241
19	25585035	25599904	-	NC_041746.1	F7G391	PGM3	0.78636265886198
5	48774294	48783101	+	NC_041732.1	F7DYN1	PPIB	0.658267725619924
X1	4119119	4127694	-	NC_041749.1	F6PNM6	RPS7	1.58940586609959
X5	56029623	56215895	+	NC_041753.1	F7FLY8	PGM5	0.781412174096457
X2	9385461	9390523	-	NC_041750.1	F7BA59	GET3	0.609045246376887
3	14975475	14992837	-	NC_041730.1	F6UI71	STIP1	1.29398843067051
X5	8157697	8163284	NA	ENSOANG00000008361	A7X5V6	Bat1	1.28538227988255
16	41809405	41821535	-	NC_041743.1	F6S591	YARS1	0.707959606064498
11	41238995	41244378	-	NC_041738.1	F6Q2G5	RPL13	1.3065625318976
X5	3695298	3695695	+	NC_041753.1	F6PX78	LOC100093154	0.545552138265552
X1	91898628	91915053	-	NC_041749.1	F6WCE9	THUMPD3	0.6663197589703
18	39970667	39994014	+	NC_041745.1	F7C064	SERBP1	1.46215860783437
10	53129792	53133148	-	NC_041737.1	F6PKE7	RPL13A	1.30316676062858
20	3221398	3226881	-	NC_041747.1	F7FZC6	HMGB1	0.559803001421567
11	36307650	36330848	+	NC_041738.1	F6QC21	AARS	0.835548330466188
13	690545	701805	+	NC_041740.1	F6WIZ4	GARS1	0.849318005516262
19	13873133	13894477	+	NC_041746.1	F6YLH9	PTK7	0.688070307693811
11	1307956	1339354	+	NC_041738.1	F6UGG9	OGDH	1.27747231618228
14	17444794	17460303	+	NC_041741.1	F7CIR3	CCT2	1.12236115288434
14	16998465	17037059	+	NC_041741.1	F6PQC9	RAP1B	0.733489213525921
10	58673963	58678343	+	NC_041737.1	F7EWD3	PA2G4	1.34809716346564
6	34665153	34667281	-	NC_041733.1	F6ZC39	SLC25A5	0.758169932684254
9	51737315	51770814	+	NC_041736.1	F7G6Q8	RAB1A	0.718618998504943
20	2156807	2162064	+	NC_041747.1	F7D1W7	RPL21	1.31746374502953
5	80061779	80082207	+	NC_041732.1	F7FEG6	P3H1	0.727375278628393
1	21959875	22061212	+	NC_041728.1	F6T312	MAP1B	0.794768114713516
5	48172462	48178504	+	NC_041732.1	F7DYA2	RPS17	1.42308743049146
10	54220136	54224927	+	NC_041737.1	F6R6P5	RPS5	1.3787142713163
10	8918701	8948947	-	NC_041737.1	F7F224	SCARB2	1.23982712509379
1	61714548	61784993	+	NC_041728.1	F6X0U8	DYNC1H1	0.942942610976525
11	62778973	62819436	-	NC_041738.1	F6PG24	ITGB3	1.22253340111184
2	11392308	11397989	-	NC_041729.1	F6VMC9	RAN	0.810291978967667
14	10906261	10956686	+	NC_041741.1	F6R556	SCFD1	0.839674157309433
2	25943870	25957520	-	NC_041729.1	F7BAJ3	FUS	1.393850432621
7	9343950	9347911	+	NC_041734.1	F6X6G0	RPS20	1.92390918085345
6	13424429	13442806	NA	ENSOANG00000048106	F7C9U1	NA	1.36978017379842
X1	107491530	107507252	-	NC_041749.1	F7E1X3	THOP1	0.678852737153639
4	24898865	24968265	+	NC_041731.1	F7AMD7	NIBAN2	1.23950602481234
13	33192464	33221193	+	NC_041740.1	F6UE70	NUDT5	0.723580298426665
5	3006819	3009658	-	NC_041732.1	F7FJC3	LOC100090167	1.77918677616213
16	43998290	44004633	-	NC_041743.1	F7F009	STMN1	0.662254559668326
17	9263421	9268526	-	NC_041744.1	F6S1W8	RPL23A	1.73158282291044
X2	5561836	5571196	-	NC_041750.1	F7B648	HNRNPH1	1.20943133279779
2	108730056	108832521	+	NC_041729.1	F7BYR7	FHL2	2.77482232147833
6	18829603	18849055	+	NC_041733.1	F7DZC3	G6PD	1.16355471121725
X2	19154834	19175547	-	NC_041750.1	F7EYM2	PDCD6	0.728106754268027
18	28826230	28831285	+	NC_041745.1	F6RM50	RPL9	1.25353707873347
3	65081648	65088046	-	NC_041730.1	F7BUN9	LOC100074187	1.34245764425799
X3	27093167	27252379	-	NC_041751.1	F6SBF5	MAN2A1	1.50836681743466
5	6610352	6618450	-	NC_041732.1	F7CKN9	RPL4	1.30152468109158
14	40218084	40251808	-	NC_041741.1	F7CYD2	ALDH1L2	0.758614195751157
3	132006126	132022095	+	NC_041730.1	F6UG20	ECHS1	1.2636560322562
10	53420591	53423697	+	NC_041737.1	F7BMB0	RCN3	0.765213336148206
3	30865814	30906294	-	NC_041730.1	F7CJ15	CAPRIN1	2.26423891280889
3	94660912	94702306	-	NC_041730.1	F6U0M9	GLUD1	1.27046764343044
4	42691676	42755873	+	NC_041731.1	F6XJ06	GSN	1.29642445684065
1	61807718	61817590	-	NC_041728.1	F6X099	HSP90AA1	1.14446035394342
2	20612707	20615926	-	NC_041729.1	F7EAP1	RPL6	1.20366185264483
9	52647484	52659612	-	NC_041736.1	F7DK14	MDH1	0.853585060976644
2	54275219	54368325	+	NC_041729.1	F6ZDA0	USP7	1.18603990335835
2	94258631	94495389	+	NC_041729.1	F6SK30	EPB41L2	0.669333027300438
X1	90126741	90154462	-	NC_041749.1	F7FEA0	COPG1	0.827921082631162
7	7011248	7083857	NA	ENSOANG00000041731	F6R462	NA	0.855319915743743
X1	75295316	75327602	+	NC_041749.1	F7DPX0	TKT	0.679456237654631
15	3545220	3551480	-	NC_041742.1	F7EF79	DDX5	2.28570431167502
7	62370695	62649022	+	NC_041734.1	F6VH29	SRGAP2	0.677857644474625
9	29710708	29793910	+	NC_041736.1	F6ZVS8	PYGB	0.760001418654649
10	38900662	38944519	+	NC_041737.1	F6WHJ5	TES	1.5527083097654
3	113860938	113926988	-	NC_041730.1	F6WWZ2	ANXA11	0.841477752825171
9	53539050	53548952	+	NC_041736.1	F7DKF7	CCT4	1.15196629851761
X2	6775189	6780681	-	NC_041750.1	F7A6B3	MANF	0.808628705831696
18	9795760	10116890	+	NC_041745.1	F7DPD5	CASK	1.41355907485173
12	16737669	16751544	+	NC_041739.1	F7BWX6	PPID	1.13744551906052
1	28838445	28928083	+	NC_041728.1	F7F6L1	ACTN1	1.3121529408289
1	31254758	31269546	NA	ENSOANG00000045545	F6ZSJ6	NA	1.1378947959074
2	92626151	92632386	-	NC_041729.1	F7EZ34	NA	2.15091422909076
11	12613521	12617373	NA	ENSOANG00000039366	F6YEQ0	NA	1.55030339802516
X1	59141303	59162620	-	NC_041749.1	F7EX01	ARL6IP5	0.774278987723199
5	59446718	59633090	+	NC_041732.1	F7C162	CAPZB	0.868640662023508
14	2708752	2721317	-	NC_041741.1	F7AQI3	LGALS3	0.63665631265137
19	5419660	5452913	+	NC_041746.1	F7EUJ4	PARP1	1.15475007596616
8	16784441	16788804	+	NC_041735.1	F6VAR7	RPS21	1.75130798440967
5	80111263	80141739	-	NC_041732.1	F6YGU6	YBX1	1.37795563075845
17	33227734	33246363	+	NC_041744.1	F7CID6	TFG	0.766089362806887
4	36974322	36980741	+	NC_041731.1	F7EQE0	RPL7A	1.20437559274407
7	73474644	73481069	-	NC_041734.1	F6UXQ1	EEF1B2	1.33973804784794
16	42838006	42844146	+	NC_041743.1	F7EFX6	RPL11	1.3144084598291
16	34705630	34750492	+	NC_041743.1	F7D0F6	ARL3	0.816764539853254
X5	40995963	41004379	-	NC_041753.1	F7E1J1	TXN	0.689983377451836
X5	33080421	33100916	-	NC_041753.1	F7FSZ3	ALDH7A1	0.823457820299329
20	20288007	20300364	+	NC_041747.1	F6RKH7	LOC100078458	1.53634613212714
9	52532288	52574931	-	NC_041736.1	F7DK07	UGP2	1.11976462444244
8	607750	613772	-	NC_041735.1	F6ZCU3	DUT	0.509760631871791
11	370585	395703	+	NC_041738.1	F6SNS7	ATP6V1A	0.897946821681376
X5	11700368	11706795	-	NC_041753.1	F6UAT6	ALDH1B1	0.867921865501471
X1	88513344	88527373	+	NC_041749.1	F6XZD4	MCM2	0.698408205131171
8	1147922	1164958	+	NC_041735.1	F6SUD7	PDIA3	0.878633660547414
2	139648671	139679523	-	NC_041729.1	F6U4A0	RRM1	0.706956976396914
11	53800292	53802769	+	NC_041738.1	F6SC43	RPS25	2.23673670277078
18	25702868	26033849	+	NC_041745.1	F6YV22	CTBP1	0.76516228442497
13	38566573	38578604	+	NC_041740.1	F6ZBJ1	MMP14	0.652231549697932
5	62527030	62547023	+	NC_041732.1	F6YGN7	SDHB	0.753295074021761
13	23467045	23485955	-	NC_041740.1	F6YWP7	DLD	0.67403902048822
4	75944205	76038190	-	NC_041731.1	F7FZV0	EIF3H	1.18647865579033
16	42725959	42743988	+	NC_041743.1	F7DT09	CAP1	0.82326078866629
X5	30766086	30823455	+	NC_041753.1	F6VFS7	SNX2	0.815900974997872
9	563751	625765	-	NC_041736.1	F7F4T0	DARS1	1.28710598507203
3	121922438	121960360	-	NC_041730.1	F7BYJ6	ALDH18A1	0.841996239708387
6	316162	357165	-	NC_041733.1	F6V982	PLS3	0.913046018634131
19	6998100	7040899	-	NC_041746.1	F7G8F1	MIA3	0.852926386396139
3	3690457	3717111	-	NC_041730.1	F7ETD5	TALDO1	0.885365371981395
10	12453241	12517612	+	NC_041737.1	F7BCC2	IPO5	0.91277197507947
16	6782018	6791464	+	NC_041743.1	F6QF42	CACYBP	1.20295337620275
X5	306184	323975	-	NC_041753.1	F7A5P3	LMNA	0.711316984094002
16	5042356	5094302	+	NC_041743.1	F6RC39	PRRC2C	1.19564482644098
X2	9626787	9650601	-	NC_041750.1	F6V6U4	PRKCSH	0.841928817682307
3	30576013	30613339	-	NC_041730.1	F7CJG8	CAT	0.762437715614286
14	48812643	48827496	+	NC_041741.1	F7BNE5	ALG12	1.16620743716588
11	54012499	54035153	-	NC_041738.1	F7CT60	ARCN1	0.873229623913044
11	3182002	3197479	-	NC_041738.1	F6PQ00	LOC100087394	1.22755555142696
14	34960478	34984520	+	NC_041741.1	F6SN57	METAP2	1.31791943088454
X5	7188446	7196604	-	NC_041753.1	F7CFU8	ACADVL	1.16850112047839
10	53115174	53119885	-	NC_041737.1	F6PKD9	RPS11	1.31778849068821
X1	36252158	36286538	NA	ENSOANG00000049587	F7DII6	NA	0.764068379462006
3	51760053	51857598	+	NC_041730.1	F7A9Z6	SEC31A	0.676263410481559
7	1920957	1924037	+	NC_041734.1	F7F0A3	RPL7	1.28949978349373
5	56281530	56336352	-	NC_041732.1	F7FMW7	SDF4	0.694636841305881
16	1198068	1240651	+	NC_041743.1	F6UGA9	DDR2	0.633545754468795
9	41161440	41188013	-	NC_041736.1	F7EML5	HADHB	1.1195936341887
5	6521596	6594392	+	NC_041732.1	F6Z152	MAP2K1	1.72884895910014
2	27134908	27145435	+	NC_041729.1	F6TZ94	ATXN2L	1.15749292806742
9	41237256	41285100	-	NC_041736.1	F7EMD6	RAB10	0.831119178760934
7	55292227	55326963	+	NC_041734.1	F6VBJ0	CSDE1	1.12524161925445
X1	85391962	85458529	+	NC_041749.1	F7DKX6	RHOA	0.660568200212655
2	18916334	18984360	+	NC_041729.1	F7FN83	ATP2A2	1.13141836737511
5	10443109	10461701	+	NC_041732.1	F7EQJ8	IDH3A	1.14422052397412
2	17394113	17434569	-	NC_041729.1	F7AYT2	HIP1R	1.59763263541448
10	8653651	8686306	-	NC_041737.1	F7DUU0	G3BP2	1.49037201086352
X1	43634749	43683545	-	NC_041749.1	F7FAL9	VDAC1	0.778652314156023
11	47370778	47408719	+	NC_041738.1	F7G917	COTL1	0.820700828738837
3	109492147	109582276	+	NC_041730.1	F6QI65	PAPSS2	1.16437695066754
17	6537663	6562670	+	NC_041744.1	F6VZI4	ALDH3A2	1.19683204927509
4	32502227	32573649	+	NC_041731.1	F7AQ59	SPTAN1	1.2036089989555
4	43874179	43903441	+	NC_041731.1	F6ZRZ3	PTGS1	2.13015204118391
