Geneid	species	chr	gstart	gend	gstrand	Length	mhf1	mhf2	mhm1	mhm2	mlf1	mlf2	mlm1	mlm2
0610005C13Rik	mmu	chr7	45217219	45224600	-	1122	0.5401420061580523	0.3366413392025423	0.2638135253124618	105.89732331829693	156.33670340324625	144.5693570104153	123.33915607528088	158.6169364696727
0610009B22Rik	mmu	chr11	51576207	51579933	-	1360	12.38171675654612	11.740366704688663	14.55371281307081	21.93713270071209	27.854438903429095	22.06723518665356	25.983161375998858	29.957473090693654
0610009E02Rik	mmu	chr2	26335936	26349402	+	1575	1.0387346272270237	1.0520041850079447	0.48365812973951333	1.4977158871972112	0.9382547841155063	1.0006622161012353	1.5093952666555355	1.2613672880292066
0610009L18Rik	mmu	chr11	120239504	120242016	+	619	4.695080515066147	2.8614513832216097	3.1217933828641313	0.7929084108691118	0.058640924007219146	0.8426629188220929	0.10781394761825253	0.18920509320438098
0610010F05Rik	mmu	chr11	23514949	23596409	-	7244	11.42608089949726	10.351721180478176	11.827639718175371	17.708287842743495	15.363922089891416	13.06127524174244	16.980696749874774	12.550604515890605
0610010K14Rik	mmu	chr11	70126030	70128808	-	981	14.417636625911088	10.688362519680718	10.728416696040114	19.029801860858683	16.65402241805024	12.903275944463298	12.937673714190304	17.72221039681035
0610012G03Rik	mmu	chr16	31765868	NA	-	1456	46.244465604147095	29.414037012822135	34.471633974161676	22.025233635253105	23.573651450902098	24.437224645840693	20.322929126040602	23.2091580997374
0610030E20Rik	mmu	chr6	72324017	72330131	+	4996	21.52258147614393	19.188556334544913	17.71947511682035	42.37654951422697	64.21181178790496	69.9410222622337	66.62901962808006	65.08655206230705
0610031O16Rik	mmu	chr3	137916478	137945424	-	824	0.08309877017816189	0	0	5.81466167970682	10.731289093321104	8.689961350352833	12.668138845144671	12.929014702299366
0610040B10Rik	mmu	chr5	143315063	143318459	+	440	1.9112717140977236	1.4728058590111226	0.9233473385936164	1.9382205599022733	1.8765095682310127	1.369327243085901	1.3476743452281565	1.387504016832127
0610040F04Rik	mmu	chr6	108553997	108637895	-	2393	0.16619754035632378	0	0	0.7929084108691118	0.6450501640794106	0.21066572970552322	0.2695348690456313	0.37841018640876195
0610040J01Rik	mmu	chr5	63969834	64056968	+	2022	1.8281729439195615	2.819371215821292	6.8591516581240075	28.985207463993085	29.027257383573478	27.807876321129065	30.83478901882022	29.13758435347467
0610042G04Rik	mmu	chr9	123722153	NA	+	1899	0.706339546514376	0.5470421762041312	0.1319067626562309	2.114422428984298	0.5277683160649723	0.47399789183742724	0.48516276428213634	0.37841018640876195
0610043K17Rik	mmu	chr4	101210980	101256382	+	618	0.4154938508908095	0.21040083700158893	0.39572028796869274	1.4096149526561987	1.4073821761732594	1.9486579997760898	1.7789301357011666	1.5136407456350478
1110002E22Rik	mmu	chr3	137768003	137787262	+	9845	81.56144292986589	78.22703119719077	116.16588897925402	0.08810093454101242	0.058640924007219146	0.10533286485276161	0.05390697380912626	0
1110002J07Rik	mmu	chr10	66747969	66756163	-	2567	0.33239508071264756	0.04208016740031779	0.3077824461978721	1.1453121490331615	2.5215597323104233	1.895991567349709	1.239860397609904	3.5948967708832384
1110002L01Rik	mmu	chr12	3453883	3476747	-	3300	3.656345887839123	6.354105277447986	7.078996262551058	6.431368221493907	6.274578868772449	5.477308972343604	6.684464752331657	5.73922116053289
1110002O04Rik	mmu	chr1	35909029	35920244	+	838	0.6647901614252951	0.21040083700158893	0.879378417708206	0	0	0.052666432426380805	0	0.06306836440146033
