geneid	refseqacc	start	end	strand	chr	chrlen	fibroblastF	fibroblastM	heartF	heartM	liverF	liverM
RAB3C	NC_041728.1	38128	81742	-	chr1	186506016	3.67195365715062	2.1159974823141043	10.029085394964653	4.352331863180214	1.4859905045958062	2.485420403010583
PDE4D	NC_041728.1	89687	185118	-	chr1	186506016	20.623679563094083	15.459736707519374	792.0951384164507	468.67742063509036	6.156246376182626	7.908155827760946
DEPDC1B	NC_041728.1	299032	346548	-	chr1	186506016	5.438908800441144	0.7341215754967301	2.026077857568617	0.6872102941863495	2.193605030593809	3.0126307915279793
ERCC8	NC_041728.1	415645	456227	-	chr1	186506016	7.123037921389924	6.434359691118399	10.94082043087053	14.43141617791334	9.269750290573839	7.456261209031749
NDUFAF2	NC_041728.1	457274	503906	+	chr1	186506016	21.065418348916715	20.425853247644312	31.201599006556698	44.325063975019546	33.89473579530434	32.76235985786678
SMIM15	NC_041728.1	506516	510481	-	chr1	186506016	89.56253882553844	83.08528889739463	20.058170789929306	25.65585098295705	37.079001162295356	32.46109677871398
ZSWIM6	NC_041728.1	545176	607643	+	chr1	186506016	25.234328140117796	35.281019245931084	35.557666400329225	20.616308825590487	19.530160917544883	30.72883407358539
KIF2A	NC_041728.1	671539	732591	+	chr1	186506016	57.9506069651064	60.67298903370034	23.705110933552817	16.607582109503447	18.96406929674648	16.795416662768485
DIMT1	NC_041728.1	733463	746006	-	chr1	186506016	70.54016236105139	76.00317487495559	44.06719340211741	35.16226005253488	41.18316541308377	30.27693945485619
IPO11	NC_041728.1	754944	897807	+	chr1	186506016	83.2125437793381	90.94470811741844	116.70208459595233	115.22225932524461	75.92703863958572	74.33666478095289
SREK1IP1	NC_041728.1	1238954	1268280	-	chr1	186506016	32.57823545441904	33.9855105832898	5.065194643921542	6.986637990894553	13.090868730963054	8.811945065219339
CWC27	NC_041728.1	1268698	1421121	+	chr1	186506016	37.244101379670575	35.669671844723474	32.41724572109787	51.19716691688304	25.261838578128707	23.573835943706438
PPWD1	NC_041728.1	1699294	1712332	+	chr1	186506016	47.65257152061632	39.081177989678864	16.411230646305796	17.86746764884509	27.596966513922116	23.498520173918237
TRIM23	NC_041728.1	1716598	1743949	-	chr1	186506016	34.78692938353219	51.21577579641893	111.13037048763863	76.39487770371585	98.49994201892201	137.52659563325224
TRAPPC13	NC_041728.1	1745706	1767605	+	chr1	186506016	25.538023555370852	28.803475932724645	32.214637935341	22.105264462994242	23.7050866209331	17.774521670015076
SGTB	NC_041728.1	1769732	1799396	-	chr1	186506016	65.37734030174938	80.1488025954077	178.0922436802814	168.7101272227488	41.04164250788417	35.85030641918296
NLN	NC_041728.1	1799917	1872981	+	chr1	186506016	56.43212988884111	38.39024003627018	76.18052744458	69.29370466379024	37.574331330493955	40.067989527322126
ERBIN	NC_041728.1	1954765	2104278	+	chr1	186506016	117.17121293945287	135.81249146689507	95.02305151996812	96.55304633318211	120.2237079670607	209.07657693204177
SREK1	NC_041728.1	2107713	2131531	+	chr1	186506016	63.251472394977974	59.29111312688296	38.90069486531744	51.655307113007275	39.20184474028937	35.85030641918296
MAST4	NC_041728.1	2156012	2349185	+	chr1	186506016	9.414557872844822	12.523250405532455	78.81442865941919	35.62040024865912	12.524777110164653	14.987838187851697
LOC114806002	NC_041728.1	2349103	2351219	+	chr1	186506016	6.073908305061176	6.866195911998829	23.806414826431247	22.33433456105636	6.0854849235828254	5.121472345597565
PIK3R1	NC_041728.1	2440754	2498636	+	chr1	186506016	110.43469645565774	60.32752005699599	595.0590667679028	242.69976889681243	1146.5478164745641	993.5656350459276
JAG2	NC_041728.1	2563087	2632870	-	chr1	186506016	2.015433210315754	1.1227741742891166	27.352051077176327	13.744205883726991	3.538072629990015	8.585997755854741
NUDT14	NC_041728.1	2661385	2735231	-	chr1	186506016	4.583039902909796	3.7569751216597362	36.874617007748824	37.567496082187105	21.58224304293909	22.519415166671646
BRF1	NC_041728.1	2823766	2984156	-	chr1	186506016	19.35368055385402	25.953356874913812	17.424269575090104	13.858740932758048	14.08152906736026	14.309996259757902
BTBD6	NC_041728.1	2909163	2911628	+	chr1	186506016	9.248905828161336	16.28022552719219	20.260778575686167	15.347696570161807	6.863860902180629	6.778419280937953
PACS2	NC_041728.1	3002394	3163655	+	chr1	186506016	18.525420330436585	19.518997183795413	16.91775011069795	10.995364706981592	10.614217889970044	11.749260086959119
MTA1	NC_041728.1	3182012	3309864	+	chr1	186506016	35.063016124671336	43.78819279727555	16.1073189676705	23.937825247491176	13.727721804361257	13.02962817335851
CRIP2	NC_041728.1	3328385	3340806	+	chr1	186506016	68.71798986953303	52.59765170323631	1202.0719928954602	912.271665532379	35.239203394700546	93.61750184673195
MIR1403	NC_041728.1	3336483	3336626	+	chr1	186506016	8.669123671769134	7.254848510791215	49.74021140330954	45.69948456339224	3.0427424617914127	2.8619992519515804
CRIP1	NC_041728.1	3370156	3373383	+	chr1	186506016	63.803645877256265	25.132868055240994	82.36006491016427	104.7995698634183	9.48203464837324	9.791050072465932
TEDC1	NC_041728.1	3391825	3443847	+	chr1	186506016	8.39303693062999	7.643501109583601	7.192576394368589	5.612217402521854	3.2550268195908134	4.443630417503769
TMEM121	NC_041728.1	3458933	3471932	+	chr1	186506016	4.196518465314995	4.016076854187994	3.9508518222588025	1.4889556374037574	2.33512793579341	2.485420403010583
SNX18	NC_041728.1	3723108	3775349	-	chr1	186506016	26.476718475243946	13.991493556525915	35.86157807896451	41.34715270021203	11.321832415968046	15.816311655521892
ARL15	NC_041728.1	3875389	4265056	+	chr1	186506016	27.49823941745878	23.01687057292689	20.66599414719989	30.12271789516832	22.360619021536895	24.70357249052943
NDUFS4	NC_041728.1	4339472	4414180	-	chr1	186506016	68.74559854364695	80.19198621749575	179.61180207345788	249.45733678964487	115.69497500067348	116.21223278319181
FST	NC_041728.1	4443895	4456061	-	chr1	186506016	197.12593317334907	345.46897670434356	3.3430284649882176	0.916280392248466	10.968025152969046	46.69577726868368
MOCS2	NC_041728.1	4698476	4711935	+	chr1	186506016	81.8597187477563	79.80333361870336	100.59476562828182	134.00600736633817	114.42126885387708	90.75550259478038
LOC100076267	NC_041728.1	4698496	4716442	+	chr1	186506016	107.25969893255758	100.83375757558028	147.70107581675217	194.2514431566748	167.2093124933281	129.0912294169739
ITGA2	NC_041728.1	4726401	4850906	-	chr1	186506016	1.711737795062695	9.716314969809662	0.9117350359058776	1.718025735465874	1.9813206727944084	1.7322627051285882
ITGA1	NC_041728.1	4878317	5056463	-	chr1	186506016	0.5521734822782888	0.9932233080249877	29.985952292015526	31.611673532572077	47.3394117892664	44.36098840524949
PELO	NC_041728.1	5031265	5038347	-	chr1	186506016	33.240843633152984	38.26068917000605	58.351042297976164	32.29888382675843	24.412701146931102	40.293936836686726
PARP8	NC_041728.1	6318063	6450123	-	chr1	186506016	6.1015169791750905	6.088890714414055	2.329989536203909	4.466866912211272	4.245687155988017	3.9917357987745725
EMB	NC_041728.1	6531824	6577212	+	chr1	186506016	79.67863349275706	62.35715029513401	6.989968608611727	14.775021325006515	44.86276094827339	33.51551755574877
HCN1	NC_041728.1	6723888	7103942	+	chr1	186506016	0.6073908305061176	0.3886525987923865	0.7091272501490158	2.0616308825590486	2.6889351987924113	2.5607361727987823
DHX29	NC_041728.1	7323097	7370937	-	chr1	186506016	91.74362408053767	112.70925364979209	43.965889509238984	60.81811103549193	55.54774029084323	37.50725335452334
MTREX	NC_041728.1	7371358	7468344	+	chr1	186506016	237.489814727892	270.7613104920293	126.02204274076796	176.1549054097676	114.98736047467548	78.17776904015106
PLPP1	NC_041728.1	7468218	7601246	-	chr1	186506016	81.16950189490845	79.19876290947076	101.40519677130926	104.91410491244936	39.62641345588816	34.26867525363077
LOC120638216	NC_041728.1	7638319	7655542	+	chr1	186506016	1.2699990092400641	2.1159974823141043	1.7221661789333242	1.718025735465874	2.618173746192611	3.0126307915279793
SLC38A9	NC_041728.1	7654193	7737188	-	chr1	186506016	9.883905332781369	11.832312452123768	8.205615323152898	7.330243137987728	17.973408960349275	19.506784375143667
DDX4	NC_041728.1	7749592	7796112	+	chr1	186506016	1.1871729868983207	0.6477543313206442	3.039116786352925	4.008726716087039	2.0520821253942088	3.238578100892578
ST8SIA4	NC_041728.1	8161536	8293766	+	chr1	186506016	0.8006515493035187	0.3886525987923865	13.37211385995287	25.770386031988107	39.98022071888717	29.222518677821398
FAM174A	NC_041728.1	8385693	8427608	-	chr1	186506016	16.068248334298204	15.891572928399803	18.538612396752843	24.166895345553293	16.48741845575347	12.954312403570311
CHD1	NC_041728.1	9123474	9194045	+	chr1	186506016	67.19951279326774	81.66022936848921	28.16248222020377	23.823290198460118	47.3394117892664	30.72883407358539
RGMB	NC_041728.1	9208281	9236130	-	chr1	186506016	19.712593317334907	15.632471195871547	16.208622860548935	14.545951226944398	6.014723470983025	6.477156201785156
RIOK2	NC_041728.1	9868841	9892112	+	chr1	186506016	59.60712741194127	59.334296748971006	25.224669326729277	45.47041446533013	36.51290954149695	34.41930679320716
LOC100081694	NC_041728.1	9990252	10089921	-	chr1	186506016	43.17996631416218	49.70434902333743	66.0501381567369	45.24134436726801	57.67058386883724	65.37408817615714
LOC100081647	NC_041728.1	10108591	10145981	-	chr1	186506016	4.224127139428909	4.922932918036896	32.214637935341	32.871559071913715	19.10559220194608	18.226416288744275
LOC100081570	NC_041728.1	10152897	10187819	+	chr1	186506016	45.08496482802227	69.61199880592523	37.48244036501941	43.0651784356779	74.79485539798891	71.7759286081541
CAST	NC_041728.1	10187818	10350665	-	chr1	186506016	337.0190849085535	356.17851498217823	412.50945180097034	698.5492640404243	32.40874529070854	30.50288676422079
ELL2	NC_041728.1	10722648	10800220	+	chr1	186506016	128.82207341552476	172.08673402085114	4.76128296528625	7.444778187018787	41.112403960483974	38.26041105240534
GLRX	NC_041728.1	10851827	10859536	+	chr1	186506016	2.319128625568813	35.23783562384305	2.633901214839202	4.123261765118097	32.69179110110774	29.222518677821398
RFESD	NC_041728.1	11000110	11010335	-	chr1	186506016	2.2363026032270694	2.331915592754319	0.9117350359058776	1.6034906864348155	2.901219556591812	1.9582100144931864
GPR150	NC_041728.1	11023704	11024941	-	chr1	186506016	0.6349995046200321	0.6909379534086871	1.6208622860548934	1.0308154412795243	2.2643664831936094	4.292998877927371
ARSK	NC_041728.1	11029919	11061839	-	chr1	186506016	78.18776509060568	72.8939540846165	11.143428216627392	17.409327452720856	16.34589555055387	9.791050072465932
TTC37	NC_041728.1	11062077	11141758	+	chr1	186506016	53.86452319624706	86.15132606564568	49.334995831795815	48.219255642075524	47.6932190522654	35.39841180045376
SLF1	NC_041728.1	11662999	11724689	-	chr1	186506016	11.071078319679689	13.905126312349829	4.76128296528625	4.58140196124233	5.307108944985022	3.4645254102571763
KIAA0825	NC_041728.1	11724798	12047557	+	chr1	186506016	4.693474599365454	9.198111504753147	2.2286856433254782	5.3831473044597375	2.6889351987924113	3.4645254102571763
FAM172A	NC_041728.1	12065372	12435065	+	chr1	186506016	25.979762341193485	24.61466459018448	20.362082468564598	16.034906864348155	22.997472094935095	20.41057361260206
NR2F1	NC_041728.1	12467584	12477948	-	chr1	186506016	6.184343001516834	5.095667406389068	6.382145251341143	3.7796566180249225	9.765080458772442	10.544207770347928
ARRDC3	NC_041728.1	13967079	13984770	+	chr1	186506016	82.080588140667615	69.74154967218935	32.92376518549002	43.86692377889531	111.59081074988507	45.71667226143708
LYSMD3	NC_041728.1	14595324	14608860	+	chr1	186506016	17.91802949993047	26.428376717882283	8.205615323152898	7.673848285080903	30.427424617914127	22.293467857307046
MBLAC2	NC_041728.1	14635355	14650696	+	chr1	186506016	1.5736944244931228	3.109220790339092	7.2938802872470205	9.277338971515718	12.02944694196605	12.653049324417513
CETN3	NC_041728.1	14665581	14684759	+	chr1	186506016	43.23518366239001	40.117584919791895	5.267802429678404	17.75293259981403	34.67311177390214	17.623890130438678
MEF2C	NC_041728.1	15745742	15937450	+	chr1	186506016	13.169337552337186	10.70953827783465	60.47842404842321	55.09135858393902	7.854521238577833	8.585997755854741
TMEM161B	NC_041728.1	16271078	16336530	+	chr1	186506016	31.50149716397637	32.08543121141591	10.738212645113668	12.484320344385349	16.48741845575347	14.008733180605104
CCNH	NC_041728.1	16808490	16827831	+	chr1	186506016	16.206291704867773	18.957610096650853	18.639916289631273	20.38723872752837	11.321832415968046	6.8537350507261525
RASA1	NC_041728.1	16831059	16895290	-	chr1	186506016	57.61930287573943	63.350373603159	60.37712015554478	75.59313236049844	94.60806212593299	46.54514572910728
LOC100077093	NC_041728.1	17265356	17270563	-	chr1	186506016	122.52729571755226	110.67962341165406	361.14837811160595	703.0161309526355	176.90363149950073	235.2864648183352
LOC103164693	NC_041728.1	17684505	17692758	-	chr1	186506016	4.91434399227677	3.929709610011908	1.0130389287843085	1.2598855393416408	5.660916207984023	4.895525036232966
LOC107546786	NC_041728.1	17694989	17696048	-	chr1	186506016	11.485208431388406	12.220965050916154	2.026077857568617	2.0616308825590486	14.64762068815866	14.987838187851697
