chr	start	end	strand	coverage	numCs	numTs
NC_000891.1	1	50000	*	1990	480	1510
NC_041728.1	1	50000	*	1341	1172	169
NC_041728.1	50001	100000	*	1588	729	859
NC_041728.1	100001	150000	*	1708	1211	497
NC_041728.1	150001	200000	*	1556	646	910
NC_041728.1	200001	250000	*	987	593	394
NC_041728.1	250001	300000	*	2185	1206	979
NC_041728.1	300001	350000	*	3290	1907	1383
NC_041728.1	350001	400000	*	2151	1363	788
NC_041728.1	400001	450000	*	1074	796	278
NC_041728.1	450001	500000	*	2396	1165	1231
NC_041728.1	500001	550000	*	8381	5907	2474
NC_041728.1	550001	600000	*	6841	5638	1203
NC_041728.1	600001	650000	*	3525	3021	504
NC_041728.1	650001	700000	*	2822	2274	548
NC_041728.1	700001	750000	*	5081	4556	525
NC_041728.1	750001	800000	*	3625	3049	576
NC_041728.1	800001	850000	*	2949	2838	111
NC_041728.1	850001	900000	*	7325	6267	1058
NC_041728.1	900001	950000	*	679	550	129
NC_041728.1	950001	1000000	*	2112	918	1194
NC_041728.1	1000001	1050000	*	1372	542	830
NC_041728.1	1050001	1100000	*	790	667	123
NC_041728.1	1100001	1150000	*	1355	534	821
NC_041728.1	1150001	1200000	*	590	483	107
NC_041728.1	1200001	1250000	*	605	365	240
NC_041728.1	1250001	1300000	*	1674	1312	362
NC_041728.1	1300001	1350000	*	4659	4445	214
NC_041728.1	1350001	1400000	*	5988	5205	783
NC_041728.1	1400001	1450000	*	3137	2559	578
NC_041728.1	1450001	1500000	*	2512	2187	325
NC_041728.1	1500001	1550000	*	1000	912	88
NC_041728.1	1550001	1600000	*	910	802	108
NC_041728.1	1600001	1650000	*	1564	1282	282
NC_041728.1	1650001	1700000	*	3051	2166	885
NC_041728.1	1700001	1750000	*	6411	5257	1154
NC_041728.1	1750001	1800000	*	6763	6217	546
NC_041728.1	1800001	1850000	*	2929	2267	662
NC_041728.1	1850001	1900000	*	1740	1556	184
NC_041728.1	1900001	1950000	*	1251	938	313
NC_041728.1	1950001	2000000	*	4338	2312	2026
NC_041728.1	2000001	2050000	*	3493	3071	422
NC_041728.1	2050001	2100000	*	3193	2756	437
NC_041728.1	2100001	2150000	*	6826	5083	1743
NC_041728.1	2150001	2200000	*	2308	1633	675
NC_041728.1	2200001	2250000	*	2674	1612	1062
NC_041728.1	2250001	2300000	*	3286	2357	929
NC_041728.1	2300001	2350000	*	6338	5946	392
NC_041728.1	2350001	2400000	*	3655	2894	761
NC_041728.1	2400001	2450000	*	3699	1458	2241
NC_041728.1	2450001	2500000	*	3322	2112	1210
NC_041728.1	2500001	2550000	*	809	327	482
NC_041728.1	2550001	2600000	*	2992	2601	391
NC_041728.1	2600001	2650000	*	4641	2885	1756
NC_041728.1	2650001	2700000	*	2975	2431	544
NC_041728.1	2700001	2750000	*	1091	807	284
NC_041728.1	2750001	2800000	*	939	800	139
NC_041728.1	2800001	2850000	*	2798	2263	535
NC_041728.1	2850001	2900000	*	2896	2477	419
NC_041728.1	2900001	2950000	*	6654	5421	1233
NC_041728.1	2950001	3000000	*	3217	2439	778
NC_041728.1	3000001	3050000	*	3137	2390	747
NC_041728.1	3050001	3100000	*	5029	4661	368
NC_041728.1	3100001	3150000	*	2952	2705	247
NC_041728.1	3150001	3200000	*	1866	1719	147
NC_041728.1	3200001	3250000	*	314	292	22
NC_041728.1	3250001	3300000	*	783	567	216
NC_041728.1	3300001	3350000	*	2128	1428	700
NC_041728.1	3350001	3400000	*	2079	1240	839
NC_041728.1	3400001	3450000	*	5179	4761	418
NC_041728.1	3450001	3500000	*	3262	2376	886
NC_041728.1	3500001	3550000	*	234	169	65
NC_041728.1	3550001	3600000	*	225	195	30
NC_041728.1	3600001	3650000	*	345	279	66
NC_041728.1	3650001	3700000	*	169	157	12
NC_041728.1	3700001	3750000	*	183	148	35
NC_041728.1	3750001	3800000	*	1560	746	814
NC_041728.1	3800001	3850000	*	536	346	190
NC_041728.1	3850001	3900000	*	1388	983	405
NC_041728.1	3900001	3950000	*	304	243	61
NC_041728.1	3950001	4000000	*	1150	869	281
NC_041728.1	4000001	4050000	*	1138	888	250
NC_041728.1	4050001	4100000	*	439	378	61
NC_041728.1	4100001	4150000	*	493	394	99
NC_041728.1	4150001	4200000	*	170	124	46
NC_041728.1	4200001	4250000	*	190	169	21
NC_041728.1	4250001	4300000	*	604	547	57
NC_041728.1	4300001	4350000	*	1432	1330	102
NC_041728.1	4350001	4400000	*	1035	948	87
NC_041728.1	4400001	4450000	*	1186	547	639
NC_041728.1	4450001	4500000	*	2211	926	1285
NC_041728.1	4500001	4550000	*	423	309	114
NC_041728.1	4550001	4600000	*	709	610	99
NC_041728.1	4600001	4650000	*	882	804	78
NC_041728.1	4650001	4700000	*	4865	3699	1166
NC_041728.1	4700001	4750000	*	1590	1457	133
NC_041728.1	4750001	4800000	*	148	124	24
NC_041728.1	4800001	4850000	*	547	457	90
NC_041728.1	4850001	4900000	*	1059	774	285
NC_041728.1	4900001	4950000	*	729	617	112
NC_041728.1	4950001	5000000	*	805	688	117
NC_041728.1	5000001	5050000	*	3524	1802	1722
NC_041728.1	5050001	5100000	*	1242	708	534
NC_041728.1	5100001	5150000	*	176	151	25
NC_041728.1	5150001	5200000	*	204	190	14
NC_041728.1	5200001	5250000	*	458	383	75
NC_041728.1	5250001	5300000	*	512	380	132
NC_041728.1	5300001	5350000	*	497	473	24
NC_041728.1	5350001	5400000	*	333	284	49
NC_041728.1	5400001	5450000	*	661	533	128
NC_041728.1	5450001	5500000	*	861	758	103
NC_041728.1	5500001	5550000	*	422	355	67
NC_041728.1	5550001	5600000	*	168	128	40
NC_041728.1	5600001	5650000	*	52	38	14
NC_041728.1	5650001	5700000	*	350	259	91
NC_041728.1	5700001	5750000	*	328	270	58
NC_041728.1	5750001	5800000	*	800	713	87
NC_041728.1	5800001	5850000	*	109	94	15
NC_041728.1	5850001	5900000	*	68	66	2
NC_041728.1	5900001	5950000	*	369	311	58
NC_041728.1	5950001	6000000	*	2808	766	2042
NC_041728.1	6000001	6050000	*	50	45	5
NC_041728.1	6050001	6100000	*	107	68	39
NC_041728.1	6100001	6150000	*	178	150	28
NC_041728.1	6150001	6200000	*	415	313	102
NC_041728.1	6200001	6250000	*	26	19	7
NC_041728.1	6250001	6300000	*	1109	415	694
NC_041728.1	6300001	6350000	*	54	49	5
NC_041728.1	6350001	6400000	*	64	60	4
NC_041728.1	6400001	6450000	*	363	140	223
NC_041728.1	6450001	6500000	*	442	258	184
NC_041728.1	6500001	6550000	*	2393	1490	903
NC_041728.1	6550001	6600000	*	631	362	269
NC_041728.1	6600001	6650000	*	247	211	36
NC_041728.1	6650001	6700000	*	20	19	1
NC_041728.1	6700001	6750000	*	1627	616	1011
NC_041728.1	6750001	6800000	*	165	102	63
NC_041728.1	6800001	6850000	*	94	80	14
NC_041728.1	6850001	6900000	*	221	78	143
NC_041728.1	6900001	6950000	*	264	206	58
NC_041728.1	6950001	7000000	*	78	64	14
NC_041728.1	7000001	7050000	*	135	94	41
NC_041728.1	7050001	7100000	*	209	163	46
NC_041728.1	7100001	7150000	*	293	205	88
NC_041728.1	7150001	7200000	*	414	359	55
NC_041728.1	7200001	7250000	*	396	283	113
NC_041728.1	7250001	7300000	*	2180	587	1593
NC_041728.1	7300001	7350000	*	2511	644	1867
NC_041728.1	7350001	7400000	*	1249	519	730
NC_041728.1	7400001	7450000	*	480	454	26
NC_041728.1	7450001	7500000	*	3208	2760	448
NC_041728.1	7500001	7550000	*	223	200	23
NC_041728.1	7550001	7600000	*	641	602	39
NC_041728.1	7600001	7650000	*	1775	863	912
NC_041728.1	7650001	7700000	*	1585	1318	267
NC_041728.1	7700001	7750000	*	2161	1251	910
