chromosome_name	X4	X5	X7	X1	Accession	V_2	Geomean
10	58960207	58963862	-	NC_041737.1	XP_028929859	ATP5F1B	1.83653836843985
3	50974443	50988051	+	NC_041730.1	XP_001506958	ATP5F1A	2.38231947567514
2	139420465	139421654	+	NC_041729.1	XP_028913684	LOC114809067	0.937561986046143
3	21340383	21366160	+	NC_041730.1	XP_028916720	MYBPC3	1.41579378402239
21	15706661	15707836	-	NC_041748.1	XP_028905054	LOC114806100	0.273526873260686
5	641189	645767	-	NC_041732.1	XP_028921122	CKM	1.58124805732486
9	41193639	41212643	+	NC_041736.1	XP_007664923	HADHA	2.2855988072702
X5	7522884	7529630	+	NC_041753.1	XP_028911185	ENO3	1.9952623348023
2	19357291	19365199	-	NC_041729.1	XP_001506155	MYL2	2.46603932732701
13	38977068	39003819	-	NC_041740.1	XP_028933462	LOC100088789	0.217770978375523
X4	1203192	1207246	+	NC_041752.1	XP_028910107	GAPDH	2.99916258701559
7	80104496	80120940	+	NC_041734.1	XP_028924440	HSPD1	1.54525446650748
14	47139377	47163486	+	NC_041741.1	XP_028934940	ACO2	1.78237879598407
2	18916582	18984360	+	NC_041729.1	XP_028914631	ATP2A2	2.60015955464136
17	2291063	2301266	-	NC_041744.1	XP_028937533	MDH2	2.63026797514807
14	43291785	43300814	-	NC_041741.1	XP_001513113	MB	3.06196342718068
X5	7188446	7196604	-	NC_041753.1	XP_028911168	ACADVL	2.30674715972166
1	20893874	20926644	-	NC_041728.1	XP_001512122	CKMT2	2.67916834723784
3	89920403	90026749	+	NC_041730.1	XP_028916188	OXCT1	1.69433783526986
X1	55353223	55368763	-	NC_041749.1	XP_028907376	IDH2	2.4603675969793
3	65392909	65425758	-	NC_041730.1	XP_028916096	ACAA2	2.83791903546303
3	7360067	7375696	+	NC_041730.1	XP_028917435	PYGM	1.72981634188469
10	7940715	7956533	+	NC_041737.1	XP_028929704	ALB	1.92752494689232
6	34665153	34667281	-	NC_041733.1	XP_028923843	SLC25A5	1.64816240502521
5	47409350	47452330	+	NC_041732.1	XP_028920699	PKM	2.26986485023926
3	81279924	81375134	-	NC_041730.1	XP_028915910	NNT	2.0137243087812
5	49863534	49893605	-	NC_041732.1	XP_028920375	TPM1	0.809095900094228
13	41682906	41689319	+	NC_041740.1	XP_028934277	ACTC1	0.54575785632028
13	35784586	35795957	-	NC_041740.1	XP_007655142	ATP5F1C	1.12201846569569
11	55035032	55038244	+	NC_041738.1	XP_001517346	APOA1	0.562341314442174
10	58796019	58803156	-	NC_041737.1	XP_028929482	CS	1.09395636711079
2	166354417	166397843	+	NC_041729.1	XP_028914549	LDHB	1.88364905256426
7	73489809	73520570	+	NC_041734.1	XP_028924856	NDUFS1	0.941889589201952
19	1702743	1752551	+	NC_041746.1	XP_028903246	ACTN2	0.239331575997999
2	26915917	26921492	+	NC_041729.1	XP_028913735	ALDOA	4.65586095049924
14	36763150	36770413	+	NC_041741.1	XP_028935033	SLC25A3	1.66341267413334
11	16593258	16600084	-	NC_041738.1	XP_028931194	HSPA8	1.86208714348735
4	112300625	112351073	-	NC_041731.1	XP_028918316	ACADM	1.68655301454727
9	41161440	41187999	-	NC_041736.1	XP_028927878	HADHB	1.8706821529817
5	11325251	11385625	-	NC_041732.1	XP_028921608	ETFA	1.41253754513712
X4	1427724	1431158	+	NC_041752.1	XP_028910144	TPI1	1.9633603321182
18	27182745	27221780	-	NC_041745.1	XP_028902416	IMMT	1.48251807991769
2	46097874	46124327	-	NC_041729.1	XP_001507390	LOC100077249	1.62181012812343
13	1714476	1723554	-	NC_041740.1	XP_028933144	MYL3	0.0897428810525203
12	53391052	53442183	-	NC_041739.1	XP_028932615	ANXA5	1.88364908763256
X1	8252736	8346490	+	NC_041749.1	XP_028907205	MYOM2	0.841395154654799
11	57046583	57049469	+	NC_041738.1	NP_001229681	CRYAB	4.5185594037673
9	16893553	16971150	-	NC_041736.1	XP_028928401	SLC25A12	1.00230525453934
9	52647484	52659612	-	NC_041736.1	XP_001511259	MDH1	1.27643883445677
X2	19177970	19203819	-	NC_041750.1	XP_028908876	SDHA	1.43879854755569
10	7961378	7984356	+	NC_041737.1	XP_001511450	LOC100080576	0.918332619951537
X1	43634749	43683545	-	NC_041749.1	XP_028907492	VDAC1	1.1376272791434
X1	90242048	90265449	-	NC_041749.1	XP_001506033	LOC100074417	1.39636835563119
11	58877451	58892971	-	NC_041738.1	XP_028931997	PHB	1.18032062163717
3	120198056	120291290	-	NC_041730.1	XP_028915339	VCL	1.15877737058368
2	24219236	24286738	-	NC_041729.1	XP_028913923	SRL	2.02301918482601
1	37903837	37921668	-	NC_041728.1	XP_028914470	ALDH6A1	1.38356638969838
17	20768037	20775447	-	NC_041744.1	XP_001513754	ATP5PO	1.55596562987367
7	71792055	71818028	-	NC_041734.1	XP_028924881	TNNT2	1.27057412581351
3	7955019	7964410	-	NC_041730.1	NP_001121092	LDHA	1.61064564304466
20	9038352	9066365	+	NC_041747.1	XP_001513628	SUCLA2	2.76057792465545
12	1557846	1609319	+	NC_041739.1	XP_028932531	ACSL1	1.11429454494651
3	119108430	119125432	-	NC_041730.1	XP_028915908	VDAC2	1.31522483214897
X1	85795363	85801343	-	NC_041749.1	XP_028905728	TNNC1	0.857037854674869
12	52095829	52137874	+	NC_041739.1	XP_007671146	MYOZ2	2.03704210501208
11	45924130	45932743	-	NC_041738.1	XP_028931028	LOC100076685	0.954992599588181
19	14857141	14863357	+	NC_041746.1	XP_028903012	HSP90AB1	1.49279441102863
13	23467045	23485955	-	NC_041740.1	XP_028933727	DLD	1.70608240943731
X4	1495721	1501229	-	NC_041752.1	XP_028910389	PHB2	0.760326275937078
12	1378013	1385858	-	NC_041739.1	XP_028932999	SLC25A4	2.01836636664947
16	46165746	46168321	-	NC_041743.1	XP_028936039	FABP3	2.19280491685228
12	38416516	38444740	-	NC_041739.1	XP_028932523	HADH	1.53461700185376
3	122823683	122848180	+	NC_041730.1	XP_028916385	GOT1	1.47570655236102
10	52571073	52574562	+	NC_041737.1	XP_028928538	TNNI3	1.39315680092468
11	1307956	1339354	+	NC_041738.1	XP_028930651	OGDH	2.02768271009294
3	30576013	30613339	-	NC_041730.1	XP_028916108	CAT	1.68655302360826
X2	3239658	3252527	+	NC_041750.1	XP_028908746	HSPA9	1.00000001459692
X4	4541731	4546508	+	NC_041752.1	XP_028910223	TUBB4B	0.948418435235991
X2	10776065	10785332	+	NC_041750.1	XP_001515708	EEF2	1.14287833653857
5	13846317	13858166	+	NC_041732.1	XP_028920954	LOC100081055	1.35831345368545
19	2969017	2980402	-	NC_041746.1	XP_028902966	FH	1.81970087299011
X4	775760	788986	+	NC_041752.1	XP_028910194	NDUFA9	1.32129561173223
