N	Unused	Total	%Cov	%Cov(50)	%Cov(95)	Accession	Name	Species	Peptides(95%)								115:114	PVal 115:114	EF 115:114	LowerCI 115:114	UpperCI 115:114	116:114	PVal 116:114	EF 116:114	LowerCI 116:114	UpperCI 116:114	117:114	PVal 117:114	EF 117:114	LowerCI 117:114	UpperCI 117:114																Biological Processes	Molecular Function	PANTHER ID
1	276.46	276.46	75.8300006389618	68.3300018310547	65.719997882843	tr|F7D6Q6|F7D6Q6_ORNAN	Uncharacterized protein OS=Ornithorhynchus anatinus GN=FLNA PE=4 SV=1	ORNAN	259								1.19604098796844	7.1126822149381E-05	1.08914697170258	1.09814471236951	1.30266442007799	1.03546702861786	0.072914183139801	1.03888595104218	0.996709049322607	1.07573214879848	1.21907603740692	3.77240297666503E-07	1.07444000244141	1.13461527366523	1.30982406060775																		
1	0	276.46	76.9699990749359	69.3599998950958	66.7100012302399	tr|F7D6Q1|F7D6Q1_ORNAN	Uncharacterized protein OS=Ornithorhynchus anatinus GN=FLNA PE=4 SV=1	ORNAN	259																																								
2	219.58	219.58	86.8799984455109	78.7800014019012	76.4400005340576	tr|F7FUG3|F7FUG3_ORNAN	Uncharacterized protein OS=Ornithorhynchus anatinus GN=AHNAK PE=4 SV=1	ORNAN	250								0.769450187683105	0.000445588491857052	1.15385401248932	0.666852287511743	0.887833186468811	1.05110704898834	0.0289895497262478	1.04563796520233	1.00523037989057	1.099077435914	0.849729716777802	0.00532807782292366	1.12005603313446	0.758649292214288	0.951744895810613																		
3	215.88	215.88	70.6399977207184	59.9500000476837	56.0800015926361	tr|F6RH74|F6RH74_ORNAN	Uncharacterized protein OS=Ornithorhynchus anatinus GN=MYH9 PE=4 SV=1	ORNAN	206								1.06231296062469	0.0221677999943495	1.05295896530151	1.00888353262703	1.11857195584577	1.00506997108459	0.798166215419769	1.03992199897766	0.966485921129345	1.04519437344271	1.1235020160675	5.06704225244903E-07	1.04383194446564	1.07632461530256	1.17274729404281																		
3	0	215.64	71.2800025939941	59.6800029277802	55.8300018310547	tr|F6RH86|F6RH86_ORNAN	Uncharacterized protein OS=Ornithorhynchus anatinus GN=MYH9 PE=4 SV=1	ORNAN	206																																								
4	179.35	179.35	66.4900004863739	57.4500024318695	56.1299979686737	tr|F7CLM4|F7CLM4_ORNAN	Uncharacterized protein (Fragment) OS=Ornithorhynchus anatinus GN=TLN1 PE=4 SV=1	ORNAN	141								1.0521320104599	0.0953452736139297	1.06178295612335	0.990910622921761	1.11713583629812	1.00719094276428	0.727788507938385	1.04172003269196	0.966853771796588	1.04921098182345	1.05122995376587	0.0585232488811016	1.05318701267242	0.9981417745538	1.10714173463845																		
5	163.77	163.81	44.9400007724762	31.2799990177155	26.5100002288818	tr|F6X0U8|F6X0U8_ORNAN	Uncharacterized protein OS=Ornithorhynchus anatinus GN=DYNC1H1 PE=4 SV=1	ORNAN	106								0.931763291358948	0.00229282001964748	1.04570305347443	0.891040040729627	0.974347718889433	0.998608708381653	0.944919526576996	1.04076099395752	0.959498592068116	1.03931299190992	0.953236877918243	0.0310419406741858	1.04438602924347	0.912724654703345	0.995547277857476																		
6	119.46	119.62	73.0799973011017	67.4399971961975	62.4800026416779	tr|F6ZN36|F6ZN36_ORNAN	Uncharacterized protein (Fragment) OS=Ornithorhynchus anatinus GN=AKAP12 PE=4 SV=1	ORNAN	104								1.03632795810699	0.771039724349976	1.27712905406952	0.811451242773609	1.32352454484298	0.929562985897064	0.0248399991542101	1.06549894809723	0.872420369402598	0.990448383663441	1.04903995990753	0.695676028728485	1.27645599842072	0.821837933470051	1.339053349407																		
7	110.6	110.88	53.7999987602234	46.9700008630753	45.3000009059906	tr|F6WN91|F6WN91_ORNAN	Uncharacterized protein OS=Ornithorhynchus anatinus GN=CLTC PE=4 SV=1	ORNAN	90								0.892905116081238	0.000204777097678743	1.05850398540497	0.843553853734075	0.945143623960476	1.00741803646088	0.763931512832642	1.05037796497345	0.959100504822891	1.05816970701532	0.927199184894562	0.00581561401486397	1.05413198471069	0.879585477286349	0.977390316995042																		
7	0	110.87	53.710001707077	46.8800008296967	45.2199995517731	tr|F6WNA3|F6WNA3_ORNAN	Uncharacterized protein (Fragment) OS=Ornithorhynchus anatinus GN=CLTC PE=4 SV=1	ORNAN	90																																								
7	0	110.87	52.3599982261658	45.4899996519089	43.8199996948242	tr|F6WMQ5|F6WMQ5_ORNAN	Uncharacterized protein (Fragment) OS=Ornithorhynchus anatinus GN=CLTC PE=4 SV=1	ORNAN	89																																								
8	102.11	102.23	75.1699984073639	67.5999999046326	63.6399984359741	tr|F6Q9N0|F6Q9N0_ORNAN	Uncharacterized protein OS=Ornithorhynchus anatinus GN=EEF2 PE=4 SV=1	ORNAN	98								0.667796611785889	4.00461191985002E-11	1.10085701942444	0.606615209789036	0.735148587632352	1.04808402061462	0.0852081328630447	1.05520296096802	0.99325348713307	1.10594136189582	0.726241588592529	5.61545088206827E-10	1.0871479511261	0.668024612326471	0.789532055060931																		
9	96.8	96.97	80.5599987506866	71.8699991703033	68.1599974632263	tr|F6QWC4|F6QWC4_ORNAN	Uncharacterized protein (Fragment) OS=Ornithorhynchus anatinus GN=HSP90B1 PE=3 SV=1	ORNAN	106								1.1075199842453	0.0479602701961994	1.10645496845245	1.00096254779744	1.2254209892286	1.01358902454376	0.670045673847198	1.06543397903442	0.951339120479668	1.07991218752528	1.24226903915405	2.31871708820108E-05	1.09697604179382	1.13244865140595	1.36273937341423																		
10	93.73	93.73	67.220002412796	53.219997882843	47.3899990320206	tr|F7B087|F7B087_ORNAN	Uncharacterized protein (Fragment) OS=Ornithorhynchus anatinus GN=COL3A1 PE=4 SV=1	ORNAN	144								0.30902099609375	1.74144804532261E-06	1.49124896526337	0.207222940831462	0.46082724066946	1.07848405838013	0.0622437410056591	1.08293604850769	0.995888963033691	1.16792926456071	0.256740003824234	5.25137711093748E-09	1.3999890089035	0.183387156750121	0.359433183499771																		
10	0	93.73	65.8699989318848	53.0799984931946	47.2600013017654	tr|F7EUG7|F7EUG7_ORNAN	Uncharacterized protein (Fragment) OS=Ornithorhynchus anatinus GN=COL3A1 PE=4 SV=1	ORNAN	144																																								
10	0	91.96	67.4000024795532	53.7299990653992	47.859999537468	tr|F7B0K6|F7B0K6_ORNAN	Uncharacterized protein (Fragment) OS=Ornithorhynchus anatinus GN=COL3A1 PE=4 SV=1	ORNAN	144																																								
11	90.01	90.01	75.4899978637695	73.0599999427795	70.0200021266937	tr|F6S4U9|F6S4U9_ORNAN	Uncharacterized protein OS=Ornithorhynchus anatinus GN=HSPA5 PE=3 SV=1	ORNAN	94								1.23210799694061	0.00390554103069007	1.14695203304291	1.07424544483502	1.41316877201946	1.02593100070953	0.656957805156708	1.12301599979401	0.913549763224851	1.15213692848148	1.31476700305939	7.31557011022232E-05	1.13157594203949	1.16189020481447	1.48775871004936																		
12	83.47	83.47	77.2199988365173	73.4200000762939	68.3499991893768	tr|F6SUD7|F6SUD7_ORNAN	Uncharacterized protein (Fragment) OS=Ornithorhynchus anatinus GN=PDIA3 PE=3 SV=1	ORNAN	88								0.89261257648468	0.210799798369408	1.19820702075958	0.744956890603782	1.06953465596224	1.05009305477142	0.121560402214527	1.0645090341568	0.986457626076612	1.11783354350949	0.909412384033203	0.0594984889030457	1.10402202606201	0.823726667190716	1.00401130274622																		
13	82.75	82.75	61.5599989891052	47.7899998426437	43.1699991226196	tr|F6U8V2|F6U8V2_ORNAN	Uncharacterized protein (Fragment) OS=Ornithorhynchus anatinus GN=VCL PE=4 SV=1	ORNAN	57								0.785811185836792	3.27566499436216E-06	1.09408903121948	0.718233309551526	0.859747399033608	0.98807817697525	0.682487428188324	1.0606369972229	0.931589393508209	1.04799227064851	0.822588920593262	7.51349489291897E-07	1.06945598125458	0.769165758115901	0.879722641242211																		
13	0	82.75	62.0100021362305	48.1400012969971	43.4799998998642	tr|F6U8K4|F6U8K4_ORNAN	Uncharacterized protein (Fragment) OS=Ornithorhynchus anatinus GN=VCL PE=4 SV=1	ORNAN	57																																								
14	78.73	78.73	81.0699999332428	78.1300008296967	73.0700016021729	tr|F6UDX9|F6UDX9_ORNAN	Uncharacterized protein OS=Ornithorhynchus anatinus GN=ACTB PE=3 SV=1	ORNAN	218								1.22388005256653	0.345595687627792	1.60400903224945	0.763013192544289	1.96311465870664	1.1035920381546	0.316034108400345	1.24097096920013	0.889297224145316	1.36952568119027	1.17464101314545	0.317980587482452	1.4248720407486	0.824383509222566	1.67371313754755																		
15	75.98	76.14	72.680002450943	67.4399971961975	62.6800000667572	tr|F6XTX9|F6XTX9_ORNAN	Uncharacterized protein (Fragment) OS=Ornithorhynchus anatinus GN=HSPA4 PE=3 SV=1	ORNAN	52								1.16706895828247	0.00270426599308848	1.10201799869537	1.05902894477595	1.28613099774594	0.976261377334595	0.464661687612534	1.06819403171539	0.913936371435098	1.04283657666306	1.21379101276398	2.4816399673E-05	1.08437705039978	1.11934406239646	1.31620711822276																		
16	74.74	74.74	69.5500016212463	56.0599982738495	53.5899996757507	tr|F7EQA2|F7EQA2_ORNAN	Uncharacterized protein (Fragment) OS=Ornithorhynchus anatinus GN=VCP PE=3 SV=1	ORNAN	60								0.992268323898315	0.866159796714783	1.09732401371002	0.904261924008647	1.08883985985742	1.06915402412415	0.0846613571047783	1.07950305938721	0.990413148741851	1.15415503999816	1.04633498191833	0.239220798015594	1.0798579454422	0.968956135697888	1.12989314381863																		
17	74.5	74.5	84.469997882843	73.9700019359589	69.4100022315979	tr|F7FAQ8|F7FAQ8_ORNAN	Uncharacterized protein (Fragment) OS=Ornithorhynchus anatinus GN=ENO1 PE=3 SV=1	ORNAN	101								0.761764526367188	0.00020271229732316	1.13340997695923	0.672099718418651	0.863391514278192	1.04299402236938	0.488548010587692	1.13251399993896	0.920954639347148	1.18120533218598	0.811968803405762	0.000263770489254966	1.10330295562744	0.735943649261775	0.895847580674854																		
18	72.67	72.67	83.8199973106384	82.2499990463257	82.2499990463257	tr|F7FFR0|F7FFR0_ORNAN	Uncharacterized protein OS=Ornithorhynchus anatinus GN=TUBB2A PE=3 SV=1	ORNAN	157								1.24289894104004	0.174675107002258	1.57248497009277	0.790404337515996	1.95443990412969	0.949886918067932	0.671389102935791	1.56768798828125	0.605915797766206	1.48912631168059	1.51793599128723	0.141426905989647	2.13462805747986	0.711100927380907	3.24022875646023																		
19	72.09	72.78	87.3300015926361	79.7299981117249	75.0500023365021	tr|F6WTS1|F6WTS1_ORNAN	Uncharacterized protein OS=Ornithorhynchus anatinus GN=P4HB PE=3 SV=1	ORNAN	54								0.863669216632843	0.0519970208406448	1.15944194793701	0.744900784527906	1.00137431890602	1.0023809671402	0.966763019561768	1.1230560541153	0.892547583415005	1.12573001367674	0.896795809268951	0.14068329334259	1.15865898132324	0.773994612500021	1.03908051882252																		
20	71.67	71.83	72.0099985599518	53.8500010967255	51.0599970817566	tr|F6Z6I2|F6Z6I2_ORNAN	Uncharacterized protein (Fragment) OS=Ornithorhynchus anatinus GN=NCL PE=4 SV=1	ORNAN	58								1.21030294895172	0.00425398489460349	1.13408005237579	1.06721121354374	1.37258043173775	1.00987005233765	0.815472781658173	1.08902895450592	0.927312398958036	1.09977772728411	1.31588101387024	2.83484605461126E-05	1.11983203887939	1.17506998209038	1.47356571868499																		
21	69.43	75.99	74.2999970912933	69.8099970817566	67.0300006866455	tr|F7C291|F7C291_ORNAN	Uncharacterized protein (Fragment) OS=Ornithorhynchus anatinus GN=HSPA8 PE=3 SV=1	ORNAN	100								1.80599796772003	3.14833599190933E-08	1.17181503772736	1.54119712546327	2.11629557667938	1.01735305786133	0.735861122608185	1.10912704467773	0.917255658621982	1.12837379045959	1.82248294353485	2.40773907478342E-08	1.1720050573349	1.55501286630888	2.13595922672944																		
22	68.24	68.24	59.5000028610229	50.7700026035309	48.5199987888336	tr|F6QNR3|F6QNR3_ORNAN	Uncharacterized protein (Fragment) OS=Ornithorhynchus anatinus GN=ACLY PE=4 SV=1	ORNAN	50								1.95830500125885	2.61571892617996E-11	1.14339303970337	1.71271376793311	2.23911230805567	0.964848518371582	0.303019613027573	1.07221400737762	0.899865616129533	1.03452409639556	1.95044195652008	2.69485711523743E-10	1.15883004665375	1.68311303469581	2.26023074346959																		
23	65.67	65.83	35.6000006198883	21.4200004935265	17.8599998354912	tr|F6R6T3|F6R6T3_ORNAN	Uncharacterized protein OS=Ornithorhynchus anatinus GN=COL6A3 PE=4 SV=1	ORNAN	42								0.953728973865509	0.336631596088409	1.10414397716522	0.863772292010424	1.05305410234157	1.00538098812103	0.875609695911407	1.0718799829483	0.937960409854507	1.07764775640372	0.945864319801331	0.163820400834084	1.08288204669952	0.873469389103084	1.02425949052652																		
24	65.65	65.88	49.8400002717972	34.2700004577637	28.2299995422363	tr|F6XGT6|F6XGT6_ORNAN	Uncharacterized protein OS=Ornithorhynchus anatinus GN=RRBP1 PE=4 SV=1	ORNAN	52								1.01326096057892	0.873058497905731	1.22314703464508	0.828404870288498	1.23936713925373	0.932296991348267	0.344855904579163	1.18869495391846	0.784302977206229	1.10821672916904	1.27958405017853	0.192884907126427	1.52410697937012	0.839563145828093	1.95022298156778																		
25	65.07	65.07	86.2600028514862	82.9699993133545	82.9699993133545	tr|F7F3Q9|F7F3Q9_ORNAN	Fructose-bisphosphate aldolase OS=Ornithorhynchus anatinus GN=ALDOA PE=3 SV=1	ORNAN	81								1.11363995075226	0.125809296965599	1.1514949798584	0.967125319894321	1.28235081266098	1.19758296012878	0.0318065397441387	1.1766300201416	1.01780758575636	1.40911206249757	1.16740703582764	0.0361305102705956	1.15436100959778	1.01130151323666	1.34760916448954																		
