chromosome_name	X4	X5	X7	X1	Accession	V_2	Geomean
7	26330247	26508281	+	NC_041734.1	XP_028924649	CPS1	0.981747943157838
4	34344305	34432096	+	NC_041731.1	XP_028918627	ASS1	0.598411597578721
7	80104496	80120940	+	NC_041734.1	XP_028924440	HSPD1	1.05196185504087
13	39187180	39196190	+	NC_041740.1	XP_028933881	PCK2	0.726105956295467
2	139420465	139421654	+	NC_041729.1	XP_028913684	LOC114809067	0.363915034718547
3	50974443	50988051	+	NC_041730.1	XP_001506958	ATP5F1A	0.835603020817398
10	58960207	58963862	-	NC_041737.1	XP_028929859	ATP5F1B	0.676082982449429
3	94660912	94702306	-	NC_041730.1	XP_028915411	GLUD1	0.99311606647311
16	587285	596554	-	NC_041743.1	XP_028936152	HMGCS2	0.820351549118435
2	18176226	18189875	+	NC_041729.1	XP_028913630	HPD	0.711213519891826
X1	11607626	11626866	-	NC_041749.1	XP_001514974	LOC100084704	0.866961889287423
7	42478819	42496263	+	NC_041734.1	XP_001513675	AGXT	1.21618601343466
1	26537076	26551934	+	NC_041728.1	XP_028927366	LOC100088080	0.877000819311042
21	15706661	15707836	-	NC_041748.1	XP_028905054	LOC114806100	0.416869386027382
12	49565002	49583872	+	NC_041739.1	XP_028932681	LOC100088518	0.855066722917778
10	7940715	7956533	+	NC_041737.1	XP_028929704	ALB	1.25602997569795
3	6696330	6796845	-	NC_041730.1	XP_028915643	PC	0.623734841646156
18	11300618	11330232	-	NC_041745.1	XP_007665449	OTC	0.810961055587187
9	41193639	41212643	+	NC_041736.1	XP_007664923	HADHA	0.803526128362657
19	14857141	14863357	+	NC_041746.1	XP_028903012	HSP90AB1	0.711213501924519
17	37709580	37800878	+	NC_041744.1	XP_028937669	SCP2	0.979490000359612
X4	1203192	1207246	+	NC_041752.1	XP_028910107	GAPDH	0.796159355905939
X5	17461676	17483574	-	NC_041753.1	XP_028912017	ALDOB	0.642687719463892
X1	69826180	69869864	+	NC_041749.1	XP_028907496	ACOX2	0.338064838947789
15	528380	536228	+	NC_041742.1	XP_028935832	AHCY	0.65917390411893
14	39587163	39605235	+	NC_041741.1	XP_028934827	HSP90B1	0.986279519931093
11	16593258	16600084	-	NC_041738.1	XP_028931194	HSPA8	1.27643880292947
5	60069994	60128080	+	NC_041732.1	XP_028921222	ALDH4A1	0.66988461117537
10	42596806	42640560	-	NC_041737.1	XP_028929469	AASS	0.995405415447388
X5	33080421	33100915	-	NC_041753.1	XP_028911248	ALDH7A1	0.574116454828704
16	2952656	2965122	-	NC_041743.1	XP_028936735	ALDH9A1	1.08392693002257
11	55035032	55038244	+	NC_041738.1	XP_001517346	APOA1	0.772680577816958
X4	1427724	1431158	+	NC_041752.1	XP_028910144	TPI1	1.02565192127053
4	37470405	37564684	-	NC_041731.1	XP_001505620	SARDH	1.12719745455886
1	70640692	70659767	-	NC_041728.1	XP_028927283	LOC100092556	0.843334749611772
7	39075960	39100379	+	NC_041734.1	XP_028925374	FTCD	0.814704298861611
5	11325251	11385625	-	NC_041732.1	XP_028921608	ETFA	0.857037834261868
5	69490909	69511384	+	NC_041732.1	XP_003428480	ENO1	1.25892542631301
3	7955019	7964410	-	NC_041730.1	NP_001121092	LDHA	0.889201124283537
X5	69437708	69453860	-	NC_041753.1	XP_028911786	LOC100092809	0.657657838338504
X5	28311433	28411954	+	NC_041753.1	XP_028910788	HSD17B4	0.669884605643641
X5	13429558	13464655	-	NC_041753.1	XP_028910440	LOC100078890	0.651628387261728
2	20143215	20171648	+	NC_041729.1	XP_007653633	ALDH2	1.47231252599803
19	2969017	2980402	-	NC_041746.1	XP_028902966	FH	1.21338883235328
3	474185	479669	-	NC_041730.1	XP_028914818	GSTP1	1.00693168457409
2	93885869	93902879	-	NC_041729.1	XP_001505820	ARG1	0.97498963147931
X2	3239658	3252527	+	NC_041750.1	XP_028908746	HSPA9	1.50314194646887
X5	11700368	11702991	-	NC_041753.1	XP_028911832	ALDH1B1	0.691830969964871
7	24733691	24762337	+	NC_041734.1	XP_007670781	IDH1	0.703072325827147
5	2184422	2194903	-	NC_041732.1	XP_028921729	LOC100074363	1.72186858486118
12	1557846	1609319	+	NC_041739.1	XP_028932532	ACSL1	0.699841992228894
1	37903837	37921668	-	NC_041728.1	XP_028914470	ALDH6A1	0.563637677096616
1	40803029	40820554	+	NC_041728.1	XP_007661067	GSTZ1	0.99083193649938
X2	10776065	10785332	+	NC_041750.1	XP_001515708	EEF2	0.704693066354534
10	7961378	7984356	+	NC_041737.1	XP_001511450	LOC100080576	0.824138107308362
3	30576013	30613339	-	NC_041730.1	XP_028916108	CAT	0.67452803617639
13	37151278	37161915	+	NC_041740.1	XP_001511338	LOC100085065	11.5080039376414
13	1198541	1200523	-	NC_041740.1	XP_028933132	LOC103166427	1.1885022272167
1	84949461	84953377	-	NC_041728.1	XP_028924101	EEF1A1	0.963829029019598
17	2291063	2301266	-	NC_041744.1	XP_028937533	MDH2	1.0399201785914
14	44698772	44710551	+	NC_041741.1	XP_028935338	GCAT	0.727779811457717
8	1147922	1164958	+	NC_041735.1	XP_007662500	PDIA3	1.31825670945144
14	47139377	47163486	+	NC_041741.1	XP_028934940	ACO2	0.744731957656351
4	46248616	46256022	-	NC_041731.1	XP_003431001	HSPA5	0.931107869857946
2	33732720	33751386	+	NC_041729.1	XP_028913975	SHMT1	1.1587773382317
6	42681235	42698189	-	NC_041733.1	XP_028923804	PGK1	1.05925374518628
X5	7188446	7196604	-	NC_041753.1	XP_028911168	ACADVL	1.27643878987187
3	119665849	120142739	-	NC_041730.1	XP_028916228	ADK	0.665273159940696
11	58877451	58892971	-	NC_041738.1	XP_028931997	PHB	0.797994692466603
8	1585251	1635206	+	NC_041735.1	XP_028927088	SORD	0.857037852792779
18	9357593	9414266	-	NC_041745.1	XP_028902432	MAOA	0.963829033191675
