chromosome_name	X4.x	X5.x	X7.x	X1.x	Accession	geneName	Geomean
4	50315669	50356912	+	NC_052535.1	A0A1D5NW68	ALB	0.908285172363471
5	22513356	22572230	+	NC_052536.1	F1NBZ9	MYBPC3	0.627094993413659
19	4773062	4780788	-	NC_052550.1	E1BVT3	MDH2	1.21338883759515
1	87708813	87755539	-	NC_052532.1	F1NM49	MYH15	0.935645013456806
28	4878812	4887612	-	NC_052559.1	F1NK75	TPM4	1.88992446041193
17	5815062	5861030	+	NC_052548.1	A0A1D5PVG1	SPTAN1	1.01132068676422
Z	2151248	2159334	NA	ENSGALG00000037880	A0A1D5PN54	ATP5A1Z	0.81324652741441
21	3211183	3223678	-	NC_052552.1	F1NZ78	ENO1	0.629667258016995
11	1496391	1506594	-	NC_052542.1	F1P180	GOT2	1.43659165041078
10	20054298	20057632	-	NC_052541.1	A0A1D5P8I7	IDH2	0.925171451866582
1	49608449	49628904	NA	ENSGALG00000011950	Q5ZMW1	ACO2	0.755478690987225
3	4373859	4388093	+	NC_052534.1	E1BSN7	PYGB	0.862095856102837
3	104751511	104775672	-	NC_052534.1	F1NI29	HADHA	0.767950676132099
13	12634443	12646954	+	NC_052544.1	Q6B344	ANXA6	0.964815894589258
19	6221502	6225163	-	NC_052550.1	R4GM10	ALDOC	1.20843200852559
6	19993995	20006529	-	NC_052537.1	F1P476	ACTA2	1.4263372491127
24	3128671	3133611	+	NC_052555.1	F1NWP3	HSPA8	0.684787075052872
1	80302042	80326390	-	NC_052532.1	A0A1D5PU80	ATP1A1	0.79027414962782
10	1607490	1625097	-	NC_052541.1	F1NW43	PKLR	0.709759331275923
7	2823743	2837408	-	NC_052538.1	Q5ZJ93	RCJMB04_19o8	1.36632983999207
28	1878324	1886120	+	NC_052559.1	A0A1D5PS29	EEF2	0.923279790597767
7	12193578	12208131	+	NC_052538.1	Q5ZJ57	RCJMB04_20j17	0.993878594340022
Z	1315093	1327424	+	NC_052572.1	A0A1D5PL36	ACAA2	2.85759051708066
24	5162921	5164390	-	NC_052555.1	O93601	apoAIV	1.20103468365935
6	16242475	16296001	NA	ENSGALG00000005079	F1NYY0	NA	0.942371662629555
3	9706925	9717819	+	NC_052534.1	A0A1D5PE17	MDH1	1.09199897003355
2	3449254	3484041	-	NC_052533.1	F1P5V6	MYL3	3.39364697691552
17	2547442	2549540	-	NC_052548.1	F1NYB1	TUBB4B	1.15522523234675
Z	13708313	13794913	-	NC_052572.1	Q5F3M8	RCJMB04_12o19	1.09984967467972
Z	14280692	14324652	+	NC_052572.1	A0A1D5NYT2	NNT	0.940444843094934
13	10159607	10169565	+	NC_052544.1	F1NMN2	SPINK5	1.9230917481695
22	4462289	4483136	+	NC_052553.1	Q5ZJA7	LOC107054982	0.686190095454084
