chr	start	end	strand	coverage	numCs	numTs
NC_000891.1	1	50000	*	690	370	320
NC_041728.1	1	50000	*	779	640	139
NC_041728.1	50001	100000	*	2135	1226	909
NC_041728.1	100001	150000	*	1501	893	608
NC_041728.1	150001	200000	*	1919	709	1210
NC_041728.1	200001	250000	*	819	533	286
NC_041728.1	250001	300000	*	1764	965	799
NC_041728.1	300001	350000	*	3511	1655	1856
NC_041728.1	350001	400000	*	1608	945	663
NC_041728.1	400001	450000	*	1185	851	334
NC_041728.1	450001	500000	*	2038	1249	789
NC_041728.1	500001	550000	*	8250	5211	3039
NC_041728.1	550001	600000	*	5462	4417	1045
NC_041728.1	600001	650000	*	2262	1917	345
NC_041728.1	650001	700000	*	2989	2273	716
NC_041728.1	700001	750000	*	4762	4297	465
NC_041728.1	750001	800000	*	2259	2018	241
NC_041728.1	800001	850000	*	2078	1989	89
NC_041728.1	850001	900000	*	5975	4978	997
NC_041728.1	900001	950000	*	521	438	83
NC_041728.1	950001	1000000	*	2781	1004	1777
NC_041728.1	1000001	1050000	*	1253	482	771
NC_041728.1	1050001	1100000	*	996	873	123
NC_041728.1	1100001	1150000	*	1100	381	719
NC_041728.1	1150001	1200000	*	238	202	36
NC_041728.1	1200001	1250000	*	536	360	176
NC_041728.1	1250001	1300000	*	1331	930	401
NC_041728.1	1300001	1350000	*	3993	3870	123
NC_041728.1	1350001	1400000	*	4357	3612	745
NC_041728.1	1400001	1450000	*	3304	2564	740
NC_041728.1	1450001	1500000	*	2170	1857	313
NC_041728.1	1500001	1550000	*	909	838	71
NC_041728.1	1550001	1600000	*	477	408	69
NC_041728.1	1600001	1650000	*	1220	1013	207
NC_041728.1	1650001	1700000	*	2360	1321	1039
NC_041728.1	1700001	1750000	*	5142	3796	1346
NC_041728.1	1750001	1800000	*	6387	5617	770
NC_041728.1	1800001	1850000	*	2130	1361	769
NC_041728.1	1850001	1900000	*	1150	1055	95
NC_041728.1	1900001	1950000	*	840	537	303
NC_041728.1	1950001	2000000	*	5235	2554	2681
NC_041728.1	2000001	2050000	*	2878	2689	189
NC_041728.1	2050001	2100000	*	3123	2623	500
NC_041728.1	2100001	2150000	*	6808	4643	2165
NC_041728.1	2150001	2200000	*	1637	1160	477
NC_041728.1	2200001	2250000	*	2934	1705	1229
NC_041728.1	2250001	2300000	*	2861	2185	676
NC_041728.1	2300001	2350000	*	4599	4361	238
NC_041728.1	2350001	2400000	*	3986	2838	1148
NC_041728.1	2400001	2450000	*	3955	1308	2647
NC_041728.1	2450001	2500000	*	2259	1275	984
NC_041728.1	2500001	2550000	*	949	397	552
NC_041728.1	2550001	2600000	*	2626	2220	406
NC_041728.1	2600001	2650000	*	3029	1837	1192
NC_041728.1	2650001	2700000	*	2258	1740	518
NC_041728.1	2700001	2750000	*	1399	848	551
NC_041728.1	2750001	2800000	*	670	564	106
NC_041728.1	2800001	2850000	*	2390	1890	500
NC_041728.1	2850001	2900000	*	2384	2141	243
NC_041728.1	2900001	2950000	*	5030	3904	1126
NC_041728.1	2950001	3000000	*	2552	1610	942
NC_041728.1	3000001	3050000	*	2107	1530	577
NC_041728.1	3050001	3100000	*	3750	3381	369
NC_041728.1	3100001	3150000	*	2001	1865	136
NC_041728.1	3150001	3200000	*	1020	953	67
NC_041728.1	3200001	3250000	*	158	153	5
NC_041728.1	3250001	3300000	*	513	380	133
NC_041728.1	3300001	3350000	*	1994	1061	933
NC_041728.1	3350001	3400000	*	2205	1111	1094
NC_041728.1	3400001	3450000	*	4026	3640	386
NC_041728.1	3450001	3500000	*	2152	1190	962
NC_041728.1	3500001	3550000	*	122	96	26
NC_041728.1	3550001	3600000	*	117	107	10
NC_041728.1	3600001	3650000	*	75	49	26
NC_041728.1	3650001	3700000	*	160	135	25
NC_041728.1	3700001	3750000	*	63	62	1
NC_041728.1	3750001	3800000	*	1505	721	784
NC_041728.1	3800001	3850000	*	556	392	164
NC_041728.1	3850001	3900000	*	758	480	278
NC_041728.1	3900001	3950000	*	130	113	17
NC_041728.1	3950001	4000000	*	1111	664	447
NC_041728.1	4000001	4050000	*	720	425	295
NC_041728.1	4050001	4100000	*	314	251	63
NC_041728.1	4100001	4150000	*	196	165	31
NC_041728.1	4150001	4200000	*	106	78	28
NC_041728.1	4200001	4250000	*	45	40	5
NC_041728.1	4250001	4300000	*	209	193	16
NC_041728.1	4300001	4350000	*	754	711	43
NC_041728.1	4350001	4400000	*	736	718	18
NC_041728.1	4400001	4450000	*	880	405	475
NC_041728.1	4450001	4500000	*	2417	903	1514
NC_041728.1	4500001	4550000	*	354	247	107
NC_041728.1	4550001	4600000	*	578	514	64
NC_041728.1	4600001	4650000	*	728	600	128
NC_041728.1	4650001	4700000	*	3274	2193	1081
NC_041728.1	4700001	4750000	*	1169	1106	63
NC_041728.1	4750001	4800000	*	122	115	7
NC_041728.1	4800001	4850000	*	377	310	67
NC_041728.1	4850001	4900000	*	905	555	350
NC_041728.1	4900001	4950000	*	308	206	102
NC_041728.1	4950001	5000000	*	308	247	61
NC_041728.1	5000001	5050000	*	3041	1545	1496
NC_041728.1	5050001	5100000	*	1589	837	752
NC_041728.1	5100001	5150000	*	184	180	4
NC_041728.1	5150001	5200000	*	84	80	4
NC_041728.1	5200001	5250000	*	227	172	55
