chromosome_name	X4.x	X5.x	X7.x	X1.x	Accession	geneName	Geomean
X	3105216	3140828	+	NC_008809.1	F6PVU6	FLNA	0.699785186472681
8	90888619	90978025	-	NC_008808.1	F7GHW6	MYH9	1.40250393714821
6	122643748	122680475	+	NC_008806.1	F7DWL1	TLN1	1.19298822581053
1	419798326	419804281	-	NC_008801.1	F6WMM9	HSPA5	0.651715047069701
8	83681505	83697215	+	NC_008808.1	F7DFT7	HSP90B1	0.712859988527011
1	65737649	65774218	+	NC_008801.1	F6WGC5	PKM	1.47875402769098
2	232042319	232067687	+	NC_008802.1	F6Q3U2	P4HB	0.68051663251488
1	344996736	345057174	-	NC_008801.1	F6YX46	ANXA6	1.29635623676603
4	225030880	225036569	+	NC_008804.1	F7DC98	HSPA8	0.65830685448497
4	218597708	218614219	-	NC_008804.1	F7GF46	HSPD1	0.584451923548233
X	66980697	67095517	-	NC_008809.1	F7ATT0	PLS3	1.39895048065041
1	399037044	399091582	-	NC_008801.1	F6TFD4	TGM2	1.48498526450477
X	56305737	56328949	+	NC_008809.1	F7C393	PGK1	1.44846354410057
4	230916744	230952205	+	NC_008804.1	F7GJH2	HYOU1	0.818447992044546
8	195535123	195790690	+	NC_008808.1	F6Y2W5	CALD1	1.6908443385953
6	283346103	283365990	+	NC_008806.1	F6PKT5	TKT	1.82263122867178
8	256731133	256743242	-	NC_008808.1	F6SFE6	VIM	1.82139183151436
1	329578340	329596890	-	NC_008801.1	F7G4T9	HSPA9	0.671704776689283
6	92392372	92419520	-	NC_008806.1	F7GEB8	ANXA1	1.584991518058
5	8065165	8109635	+	NC_008805.1	F7GJP3	ANXA5	1.89131170085341
6	127701637	127715425	+	NC_008806.1	F7CPK2	HNRNPK	0.732549004718889
2	529228141	529243307	-	NC_008802.1	F6QQ58	MDH2	0.677381279663732
1	318392558	318427787	+	NC_008801.1	F7ACJ5	WARS1	2.13997055205505
1	414056664	414144520	+	NC_008801.1	F6UAI3	GSN	2.00914456989673
4	233430208	233436697	-	NC_008804.1	F6X7N5	TAGLN	3.28158274676727
2	536431677	536440249	-	NC_008802.1	F7BWB5	NCL	0.699444440771993
4	343171464	343180061	-	NC_008804.1	F6RG35	RPS3	0.738063887996356
X	3447270	3463592	-	NC_008809.1	F7B0L6	G6PD	1.38933680549618
5	51638619	51662908	+	NC_008805.1	F7BAV0	ADH7	1.72022581022651
5	126919611	126924448	-	NC_008805.1	F7ESW0	RPS3A	0.702439004200634
4	371220033	371239541	-	NC_008804.1	F7DHT9	PGD	1.78430820169913
6	94035033	94132400	-	NC_008806.1	F7DIF8	GDA	1.55546683496324
1	699655478	699672917	-	NC_008801.1	F7CXV7	NQO1	1.52755938497719
4	429367820	429394433	-	NC_008804.1	F6TLZ1	SLC2A1	0.299080416851441
4	383114103	383117850	-	NC_008804.1	F7C3L8	RPS16	0.673407850113447
3	163338460	163342458	+	NC_008803.1	F6RZC7	RPL7	0.767007676855685
1	605427895	605463014	-	NC_008801.1	F7D0S2	DSTN	1.55659086015806
4	424098524	424123864	+	NC_008804.1	F6Z972	CAP1	1.66243190036623
8	213249114	213290121	-	NC_008808.1	F6SNH9	PDIA4	0.851036731662747
5	220252736	220304411	+	NC_008805.1	F7F5P3	WDR1	1.44256789013047
6	158996395	159000712	-	NC_008806.1	F7AJ98	TUFM	0.8128072503986
1	425545236	425571428	-	NC_008801.1	F7B9J9	GPI	1.37878593047663
3	484209376	484266731	-	NC_008803.1	F7GE81	ATP2A2	0.775879621268516
6	156921036	156924521	-	NC_008806.1	F7G9G8	RPS2	0.640868124916171
3	509035647	509042343	-	NC_008803.1	F7B9V8	RPLP0	0.76147422986703
2	506471748	506478636	-	NC_008802.1	F6Q8Q1	ALDOC	1.36795358172308
2	257956603	257964629	+	NC_008802.1	F6VVG7	RACK1	0.741027213699677
3	429185051	429188351	+	NC_008803.1	F6QUI0	PRDX2	1.54094359207021
4	78052788	78188087	+	NC_008804.1	F7BTK7	GAP43	0.580710332561642
1	718065429	718103496	+	NC_008801.1	F6Z685	CAPG	1.65561452408899
6	158736898	158742724	+	NC_008806.1	F7E0Q7	ALDOA	1.76340710344637
NA	9049	15087	-	NW_001583809.1	H9H7I8	ATP5F1B	0.787565605840838
8	97334222	97363143	+	NC_008808.1	F7CZU2	LDHB	1.29956009620473
5	244455740	244458661	+	NC_008805.1	F6UEP7	RPS13	0.707097781068333
1	502618458	502622856	+	NC_008801.1	F7FZ45	PPIA	2.10552391111
3	366256863	366303568	-	NC_008803.1	F7BS95	YWHAZ	1.68006887038506
1	76403959	76449787	+	NC_008801.1	F7DMN3	PDLIM1	1.30371929528845
8	121936185	121977591	-	NC_008808.1	F7B3M9	GDI2	1.38500698871559
NA	53451	159837	+	NW_001583743.1	H9H6G2	FHL1	1.47628314663231
X	3165434	3167651	+	NC_008809.1	F6PU97	RPL10	0.612887532556332
2	209195324	209302720	+	NC_008802.1	F6TAW5	MRC2	1.47348053268425
8	64652126	64658376	+	NC_008808.1	F7C419	RPL3	0.797206882776752
2	255039134	255045985	-	NC_008802.1	F6UEF7	EIF4A1	0.780476944870752
