chromosome_name	X4.x	X5.x	X7.x	X1.x	Accession	geneName	Geomean
5	135807503	135819240	+	NC_000071.7	P08249	Mdh2	0.685488225898703
5	90608729	90624461	+	NC_000071.7	Q546G4	Alb	1.03276142338944
13	92001506	92025004	-	NC_000079.7	Q6P8J7	Ckmt2	0.398107177648241
9	66929872	66956954	-	NC_000075.7	Q545Y3	Tpm1	1.39636836007205
7	19145019	19155508	+	NC_000073.7	A2RTA0	Ckm	1.00693166350515
15	81756664	81799338	+	NC_000081.7	Q99KI0	Aco2	0.651628382476254
18	77861468	77870569	+	NC_000084.7	Q03265	Atp5f1a	0.803526116261146
4	99786648	99844491	+	NC_000070.7	Q7TNU0	Pgm1	0.835603005914975
8	96590761	96615029	-	NC_000074.7	P05202	Got2	0.818464776018689
4	42979964	43000507	-	NC_000070.7	Q01853	Vcp	1.73380400580392
12	31381561	31401470	-	NC_000078.7	O08749	Dld	0.419758987971314
10	127919176	127926257	+	NC_000076.7	P56480	Atp5f1b	0.651628403851762
3	131027068	131065750	-	NC_000069.7	Q61425	Hadh	0.318419753513693
5	122591576	122640288	-	NC_000071.7	O55143	Atp2a2	0.995405413309721
5	122230787	122251536	+	NC_000071.7	P51667	Myl2	0.425598408633768
3	153627990	153650280	-	NC_000069.7	P45952	Acadm	0.406443333923042
5	30324421	30359978	-	NC_000071.7	Q8BMS1	Hadha	0.498884498571478
19	4057499	4062755	-	NC_000085.7	Q91YT0	Ndufv1	0.509330873344434
11	32246492	32247310	+	NC_000077.7	Q91VB8	Hba-a1	0.466659382692286
1	66869998	66902468	-	NC_000067.7	A0A0R4J083	Acadl	1.11173171615683
9	103086075	103107485	-	NC_000075.7	Q921I1	Tf	2.49459472123109
1	63182751	63215981	-	NC_000067.7	Q91VD9	Ndufs1	0.586138167860605
X	105230706	105247305	+	NC_000086.8	P09411	Pgk1	2.03235700996515
18	74912283	74939278	+	NC_000084.7	Q8BWT1	Acaa2	0.464515281403641
7	79744594	79768356	-	NC_000073.7	P54071	Idh2	0.240436279410278
