N	Unused	Total	%Cov	%Cov(50)	%Cov(95)	Accession	Name	Species	Peptides(95%)								114:116	PVal 114:116	EF 114:116	LowerCI 114:116	UpperCI 114:116	115:116	PVal 115:116	EF 115:116	LowerCI 115:116	UpperCI 115:116	117:116	PVal 117:116	EF 117:116	LowerCI 117:116	UpperCI 117:116																Biological Processes	Molecular Function	PANTHER ID
1	325.2	325.2	72.5600004196167	70.1200008392334	65.8599972724915	tr|F6PVU6|F6PVU6_MONDO	Uncharacterized protein (Fragment) OS=Monodelphis domestica GN=FLNA PE=4 SV=1	MONDO	458								0.936356782913208	0.0067553841508925	1.04776298999786	0.893672320793768	0.981079982569923	1.25714802742004	1.30482803381571E-11	1.06094002723694	1.18493788069633	1.33375866245188	1.50890398025513	3.33406114319992E-26	1.0587420463562	1.4251856582519	1.59754008781033																		
2	273.57	273.57	86.0099971294403	77.1799981594086	71.2499976158142	tr|F7BL18|F7BL18_MONDO	Uncharacterized protein OS=Monodelphis domestica GN=AHNAK PE=4 SV=1	MONDO	389								0.976549506187439	0.569175124168396	1.08816301822662	0.897429419885009	1.06264505810064	0.947978973388672	0.278513312339783	1.10420298576355	0.858518755709712	1.04676121285684	0.835491716861725	0.000285353395156562	1.09258103370667	0.764695424033909	0.91284240366214																		
3	240.09	240.09	70.3999996185303	63.3499979972839	59.2599987983704	tr|F7GHW6|F7GHW6_MONDO	Uncharacterized protein (Fragment) OS=Monodelphis domestica GN=MYH9 PE=4 SV=1	MONDO	306								0.919405221939087	0.0001737663988024	1.04363095760345	0.880967755163536	0.959519752197906	0.568813681602478	1.01821903562961E-27	1.07564496994019	0.528811733888467	0.611841575448864	0.815490782260895	4.58657193984618E-14	1.04694199562073	0.778926421589759	0.853771546990529																		
3	0	239.85	70.2400028705597	63.2000029087067	59.1300010681152	tr|F7GHR2|F7GHR2_MONDO	Uncharacterized protein (Fragment) OS=Monodelphis domestica GN=MYH9 PE=4 SV=1	MONDO	306																																								
3	0	239.82	70.0399994850159	63.0299985408783	58.9600026607513	tr|F6RB27|F6RB27_MONDO	Uncharacterized protein (Fragment) OS=Monodelphis domestica GN=MYH9 PE=4 SV=1	MONDO	306																																								
4	182.08	182.08	62.9999995231628	57.7300012111664	54.5000016689301	tr|F7DWL1|F7DWL1_MONDO	Uncharacterized protein (Fragment) OS=Monodelphis domestica GN=TLN1 PE=4 SV=1	MONDO	146								1.016970038414	0.497290998697281	1.05033898353577	0.968230308838548	1.06816327643409	0.810856699943542	3.54649500877713E-06	1.08741497993469	0.745673652566604	0.881737722099018	0.8738774061203	1.14647200462059E-05	1.05903303623199	0.825165387880182	0.925465042698121																		
5	144.94	144.94	58.4999978542328	48.5500007867813	45.9699988365173	tr|F7B3V3|F7B3V3_MONDO	Uncharacterized protein (Fragment) OS=Monodelphis domestica GN=MYOF PE=4 SV=1	MONDO	99								1.02134704589844					0.994187295436859					1.08400094509125																						
6	126.28	126.28	82.9599976539612	78.5899996757507	77.240002155304	tr|F6SUP3|F6SUP3_MONDO	Uncharacterized protein OS=Monodelphis domestica GN=ACTN1 PE=4 SV=1	MONDO	186								1.04610395431519					0.997182607650757					0.921762526035309																						
7	121.2	141.52	48.3599990606308	42.5300002098084	37.389999628067	tr|F7DFV3|F7DFV3_MONDO	Uncharacterized protein OS=Monodelphis domestica GN=LOC100014227 PE=4 SV=1	MONDO	100								0.983981311321259	0.568772912025452	1.05820500850677	0.929858867999261	1.04125395191722	1.128093957901	0.000669601373374462	1.0689549446106	1.05532414026294	1.20588161428361	1.2470680475235	1.14774998394296E-07	1.0741970539093	1.16093042983601	1.33959682267417																		
7	0	141.48	48.1700003147125	42.3599988222122	37.2500002384186	tr|F7DFR5|F7DFR5_MONDO	Uncharacterized protein OS=Monodelphis domestica GN=LOC100014227 PE=4 SV=1	MONDO	100																																								
7	0	141.41	50.0800013542175	42.2199994325638	37.1199995279312	tr|F7D0L7|F7D0L7_MONDO	Uncharacterized protein (Fragment) OS=Monodelphis domestica GN=LOC100014227 PE=4 SV=1	MONDO	100																																								
7	0	139.41	49.0200012922287	41.8599992990494	36.7599993944168	tr|F6YIE4|F6YIE4_MONDO	Uncharacterized protein (Fragment) OS=Monodelphis domestica GN=LOC100014227 PE=4 SV=1	MONDO	99																																								
7	0	139.37	49.5799988508224	41.7400002479553	36.6600006818771	tr|F6YID8|F6YID8_MONDO	Uncharacterized protein (Fragment) OS=Monodelphis domestica GN=LOC100014227 PE=4 SV=1	MONDO	99																																								
7	0	139.36	48.3000010251999	41.6999995708466	36.6200000047684	tr|F7DFG9|F7DFG9_MONDO	Uncharacterized protein (Fragment) OS=Monodelphis domestica GN=LOC100014227 PE=4 SV=1	MONDO	99																																								
8	107.21	107.21	65.4900014400482	61.1699998378754	55.5199980735779	tr|F6TAC1|F6TAC1_MONDO	Uncharacterized protein OS=Monodelphis domestica GN=VCL PE=4 SV=1	MONDO	81								0.98258239030838	0.443554311990738	1.04673397541046	0.938712617905686	1.0285023715758	0.728397011756897	3.69610689920112E-19	1.04678905010223	0.695839349566905	0.762478016034308	0.690102517604828	7.94273170587166E-20	1.05292701721191	0.655413439225994	0.726627585432084																		
